"%. Please rerun generation process!","%. Spusťte prosím znovu exportní proces!"
"Action","Akce"
"Active","Aktivní"
"Add New Profile","Přidat nový profil"
"All Product Types","Všechny typy produktů"
"Attributes","Atributy"
"Attributes Mapping Table","Tabulka atribut"
"Automaticaly add new products to export profiles","Automaticky přidat nové produkty do exportních profilů"
"Back","Zpět"
"Categories to export","Exportovat kategorie"
"Category - Product Filter","Kategorie - Filtr produktů"
"Centrum category","Centrum kategorie"
"Common","Základní nastavení"
"Common Filter","Základní filtr"
"Compress File:","Komprimovat soubor:"
"Continue","Pokračovat"
"Creation Time","Datum vytvoření"
"Custom Attribute Value:","Vlastní hodnota atributu:"
"Decimal delimiter:","Oddělovač desetiných míst:"
"Default (Admin) Values","Výchozí (Admin) hodnoty"
"Delete Profile","Odstranit profil"
"Edit Profile","Editovat profil"
"Enabled","Povolen"
"Encoding:","Kódování:"
"Example:","Příklad:"
"Export Availability if out of Stock:","Exportovat dostupnost pokud není na skladě:"
"Export File Name:","Název souboru pro export:"
"Export Profiles","Exportní profily"
"Export Profile Settings","Nastavení exportního profilu"
"Export for search engine","Export produktů pro vyhledávač"
"Export for search engines","Export produktů pro vyhledávače"
"Export has been generated on ","Export byl vygenerován "
"Export has been successfully generated","Export byl úspěšně proveden"
"Export information","Informace o exportu"
"Export meta title and description","Exportovat meta název a popis"
"Export Out of Stock Products","Exportovat produkty které nejsou na skladě"
"Feed","Feed"
"Feed:","Feed:"
"File","Soubor"
"File:","Soubor:"
"Filename","Název souboru"
"File Name without suffix - . xml or .csv will be added according to selected feed type.","Název souboru bez přípony. Připona bude automaticky doplněna."
"Frequency:","Frekvence:"
"General","Obecné"
"General Information","Obecné informace"
"Generate NOW","Generuj TEĎ"
"Hour","Hodina"
"Hour:Minute:Second","Hodiny:Minuty:Vteřiny"
"Is in Stock Value:","Hodnota pokud je na skladě:"
"Is out of Stock Value:","Hodnota pokud není na skladě:"
"It must be finished with .xml","Musí končit příponou .xml"
"Item was successfully saved","Profil byl úspěšně uložen"
"Last Time Generated","Naposledy generováno"
"Lovecnacene.si merchant name","Jméno obchodníka na Lovecnacene.si"
"Merchant Name:","Název obchodu:"
"Minute","Minuta"
"Name","Jméno"
"New Profile","Nový profil"
"Next Step","Další krok"
"PHP Extension '%s' must be loaded","PHP rozšíření '%s' musí být povoleno"
"Parent - Child:","Rodič - dítě:"
"Price format:","Formát ceny:"
"Product Types:","Typy produktů:"
"Products","Produkty"
"Profile Information","Informace o profilu"
"Profile Name","Název profilu"
"Profile Name:","Název profilu:"
"Profile Wizard","Průvodce tvorbou profilu"
"Remove Empty Elements:","Odstranit prázdné elementy:"
"Remove End of Line Symbols:","Odstranit znaky konce řádku:"
"Reset","Reset"
"Save Profile","Uložit profil"
"Search engine","Vyhledávač"
"Second","Sekunda"
"Select Feed.","Vyberte feed."
"Select Store View.","Vyberte pohled obchodu."
"Select Store View and Feed","Vyberte pohled obchodu a feed"
"Selected Product Types","Vybrané typy produktů"
"Start time:","Čas spuštění:"
"Step","Krok"
"Store","Store"
"Store View","Pohled obchodu"
"Store View:","Pohled obchodu:"
"Store View Name","Pohled obchodu"
"Type","Typ"
"Type:","Typ:"
"Unable to find an export to generate","Export pro generování nebyl nalezen"
"Unable to generate an export","Export nelze generovat"
"Use Category-Product Filter:","Použít filtr kategorií a produktů:"
"Use categories path for product URLs","Přidat cestu kategorie do URL produktu"
"Use store name in URL path","Přidat název obchodu do URL produktu"
"View","Ukaž"
"XML File","XML soubor"
"XML Url","XML Url"
"XML file doesnt exist","XML soubor neexistuje"
"https://docs.nostresscommerce.cz/en/wiki/export_en","https://docs.nostresscommerce.cz/cs/wiki/export"
"per page","na stránku"
"profiles","profily"
PHP Extension "%s" must be loaded,"PHP Extension ""%s"" musí být načteno"
"Export Profiles","Exportní Profily"
"Export Profile Settings","Exportní Profil Nastavení"
"General","Hlavní"
"Export profile # %s has been successfully generated.","Exportní profil číslo %s byl úspěšně vygenerován."
"Zero products selected for export. Please choose products to export in profile's detail.","Pro export bylo vybráno 0 produktů. Prosím upravte nastavení filtrů v detailu profilu."
"Profile # %s is disabled.","Profil číslo %s je zakázán."
"Total of %d record(s) were successfully deleted","Celkem %d záznamů bylo úspěšně smazáno"
"Total of %d record(s) were successfully generated","Celkem %d záznamů bylo úspěšně vygenerováno"
"Taxonomy successfully reloaded.","Taxonomie byla úspěšně obnovena."
"Following feeds have been updated:","Následující specifikace feedů byly aktualizovány:"
"Feeds specification load failed: ","Načtení specifikací feedů bylo neúspěšné: "
"Item was successfully saved","Položka byla úspěšně uložena"
"Unable to find item to save","Nelze najít položku pro uložení"
"Item was successfully deleted","Položka byla úspěšně smazána"
"Please select profile(s)","Prosím vyberte profil nebo profily"
"--Please select Type--","--Prosím vyberte Typ--"
"--Please select Feed--","--Prosím vyberte Feed--"
"Products: %s ","Produkty: %s "
"Categories: %s ","Kategorie: %s "
