"Action","Action"
"After ""Add to cart"" above short description","After ""Add to cart"" above short description"
"After reviews above the price","After reviews above the price"
"After the price above ""Add to cart"" button","After the price above ""Add to cart"" button"
"Are you sure?","Are you sure?"
"Automatic Email Notifications","Automatic Email Notifications"
"AW Product Updates - Product price has been changed","AW Product Updates - Product price has been changed"
"AW Product Updates - Product stock been changed","AW Product Updates - Product stock been changed"
"Block positions","Block positions"
"Cancel","Cancel"
"Configuration","Configuration"
"Configuration Settings","Configuration Settings"
"Default notification text","Default notification text"
"Default notification title","Default notification title"
"Did not send! Make sure that you have entered title and subject of the message","Did not send! Make sure that you have entered title and subject of the message"
"Email","Email"
"Email Sender","Email Sender"
"Enable automatic notifications about price changes","Enable automatic notifications about price changes"
"Enable automatic notifications about stock changes","Enable automatic notifications about stock changes"
"Full name","Full name"
"Fullname","Fullname"
"Include signature","Include signature"
"Include unsubscribe","Include unsubscribe"
"Invalid product data","Invalid product data"
"Item was successfully deleted","Item was successfully deleted"
"In stock","In stock"
"Loading...","Loading..."
"Manage subscribers","Manage subscribers"
"Manage Subscribers","Manage Subscribers"
"Name","Name"
"Notify me when product is in stock","Notify me when product is in stock"
"No positioning, I insert it via CMS","No positioning, I insert it via CMS"
"Notifications have been queued.","Notifications have been queued."
"Notify me about updates","Notify me about updates"
"Notify about product updates","Notify about product updates"
"Notifications have not been queued as product website visibility was not specified","Notifications have not been queued as product website visibility was not specified"
"Out of stock","Out of stock"
"Please select product configuration","Please select product configuration"
"Price changed template","Price changed template"
"Products","Products"
"Product Updates Notifications","Product Updates Notifications"
"Product Id","Product Id"
"Registration failed. Be sure that you have entered valid Email and Full name","Registration failed. Be sure that you have entered valid Email and Full name"
"Registration failed","Registration failed"
"Save & Submit Notifications","Save & Submit Notifications"
"Show subscription link in categories","Show subscription link in categories"
"Signature text","Signature text"
"Statistics","Statistics"
"Stock changed template","Stock changed template"
"Submit","Submit"
"Subscriber ID","Subscriber ID"
"Subscribe to","Subscribe to"
"Subscription date","Subscription date"
"Subscribe to %s notifications","Subscribe to %s notifications"
"Subscribed to  %s","Subscribed to  %s"
"Subscription data is invalid","Subscription data is invalid"
"Subscriber Statistics","Subscriber Statistics"
"Thank you!","Thank you!"
"Under the title above the reviews block","Under the title above the reviews block"
"Unsubscribe from all","Unsubscribe from all"
"Unsubscribe text","Unsubscribe text"
"Unsubscription error","Unsubscription error"
"Unsubscription Error","Unsubscription Error"
"Update Notifications","Update Notifications"
"You have been subscribed to","You have been subscribed to"
"You have been successfully subscribed to %s updates!","You have been successfully subscribed to %s updates!"
"You have been unsubscribed from all notifications","You have been unsubscribed from all notifications"
"You have been unsubscribed from","You have been unsubscribed from"
"You have no subscriptions","You have no subscriptions"
"You have no subscription to this item","You have no subscription to this item"
"You will be notified by email when this product gets back in stock","You will be notified by email when this product gets back in stock"
"You will be notified by email about product updates","You will be notified by email about product updates"
"Your email","Your email"
"Your full name","Your full name"
"You have been unsubscribed from %s notifications","You have been unsubscribed from %s notifications"
"You have been subscribed to %s updates","You have been subscribed to %s updates"
"Notification Text","Notification Text"
"Product Update Notifications","Product Update Notifications"
"Notification Title","Notification Title"
"Wrong column format.","Wrong column format."
"No user info","No user info"
"After the price above \"Add to cart\" button","After the price above \"Add to cart\" button"
"After \"Add to cart\" above short description","After \"Add to cart\" above short description"
"After \"Add to cart\" above short description","After \"Add to cart\" above short description"
"Notify me about price change","Notify me about price change"
