"Order Labels Preview","Order Labels Preview"
"Print Labels","Print Labels"
"Loading...","Laden..."
"Back","Terug"
"Selected Label","Geselecteerd Label"
"Sender Label Printing","Afdrukken Afzenderlabel"
"Enabled","Ingeschakeld"
"Disabled","Uitgeschakeld"
"Sender","Afzender"
"General Settings","Globale Instellingen"
"Button Location","Locatie Printknop"
"Postcode & City Format","Notatie postcode & stad"
"Postcode + City","Postcode + Stad"
"City + Postcode","Stad + Postcode"
"Use Local Script Files","Lokale bestanden gebruiken"
"Sender Label Settings","Instellingen Afzenderlabel"
"Print Sender Label","Afzenderlabel afdrukken"
"Sender Name","Naam van de afzender"
"Sender Address","Adres van de afzender"
"Sender City","Stad van de afzender"
"Sender Postcode","Postcode van de afzender"
"Sender Country","Land van de afzender"
"Recipient Label Settings","Instellingen Klantlabel"
"Print Country","Land afdrukken"
"Print State","Regio/Provincie afdrukken"
"Print Phonenumber","Telefoonnummer afdrukken"
"Print Company","Bedrijfsnaam afdrukken",
"Company Prefix","Voorvoegsel"
"This will prefix the customer's name. e.g. att. J. Doe.","Dit voorvoegsel wordt geplaatst voor een klantnaam. Bijvoorbeeld t.a.v. I. Mand"
"Will use files hosted on the Dymo servers if not enabled","Indien niet ingeschakeld wordt er gebruik gemaakt van bestanden gehost op de Dymo servers"
