"Exact online connect", "Exact online koppeling"
"Synchronize now", "Synchroniseer nu"
"Settings", "Instellingen"
"Name","Naam"
"Save Setting","Sla instelling op"
"Add setting","Voeg instellingen toe"
"Setting Information","Instelling informatie"
"Item information","Instellings information"
"Key","Sleutel"
"Value","Waarde"
"Creation time","Aanmaak datum"
"Add setting","Voeg instelling toe"
"Reset filter","Reset filter"
"Edit setting '%s'","Verander instelling '%s'"
"setting manager","Instellings manager"
"Page","Pagina"
"pages","Pagina's"
"per page","per pagina"
"Total %d records found","Totaal %d rijen gevonden"
"Name internal", "Naan intern"
"Category", "Categorie"
"General", "Algemeen"
"Payment conditions", "Betalingscondities"
"VAT-Codes", "BTW-codes"
"Sync. Data", "Sync. Data"
"Financial", "Financieel"
"Debtors", "Debiteuren"
"Link enabled", "Link ingeschakeld"
"Partnerkey", "Partnersleutel"
"Username", "Gebruikersnaam"
"Password", "Wachtwoord"
"Exact division", "Exact administratie"
"Customer ID range", "KlantID bereik"
"Currency Exact Online", "Valuta Exact Online"
"Use country code", "Gebruik landcode"
"Country code", "Landcode"
"Payment condition (Default)", "Betalingcondities (Algemeen)"
"Last Product sync.", "Laatste product synchronisatie"
"Last customer sync.", "Laatste klanten synchronisatie"
"Last order sync.", "Laatste bestellings synchronisatie"
"Last credit order sync", "Laatste creditbestelling synchronisatie"
"Timeout between requests (ms)", "Tijd tussen aanvragen (ms)"
"Running since", "Draait vanaf"
"Locked", "Geblokkeerd"
"Max script runtime", "Maximale executie tijd script"
"Stock Sync.", "Vooraad synchronisatie"
"Credit offset", "Credit bereik"
"Last Exact Order", "Laatste Exact Order"
"Order states", "Order statussen"
"VAT-code 0.0000%", "BTW-code 0.0000%"
"VAT-code 6.0000%", "BTW-code 6.0000%"
"VAT-code 19.0000%", "BTW-code 19.0000%"
"VAT-code 21.0000%", "BTW-code 21.0000%"
"VAT % Shipping costs", "BTW % Verzendkosten"
"Resync failed orders", "Hersynchroniseer mislukte bestellingen"
"Download ID for Exact", "Download ID voor Exact"
"Only sync product changes", "Synchroniseer producten"
"Only sync customer changes", "Synchroniseer bestellingen"
"Sync product images", "Synchroniseer product afbeeldingen"
"Status of delivery sync", "Status of delivery sync"
"Last delivery sync", "Last delivery sync"
"Sync failed deliveries", "Hersynchroniseer mislukte leveringen"
"Journal", "Dagboek"
"GL Account debtors", "Grootboekrekening debiteuren"
"Root category of Magento", "Hoofcategorie in Magento"
"GL Account Undefined National", "Grootboekrekening overig nationaal"
"GL Account Undifined International", "Grootboekrekening overig internationaal"
"GL Account shippingcosts", "Grootboekrekening verzendkosten"
"GL Account discounts", "Grootboekrekening kortingen"
"Products shop Inc./Excl. VAT", "Producten in winkel Inc./Excl. BTW"
"Code glaccount (Guests)", "Verzamelgrootboekrekening (Gasten)"
"Sync customergroups", "Synchroniseer klantgroepen"
"Description Exact Online","Omschrijving Exact Online"
"Debtor ID Guests","Klant ID Gasten"
"Sync Customer groups","Synchroniseer klantgroepen"
