"Actions","Acties"
"major","belangrijk"
"Message","Bericht"
"Message was successfully removed","Bericht is  verwijderd."
"Message was successfully marked as read","Bericht is gemarkeerd als gelezen"
"Messages Inbox","Berichten Inbox"
"Date Added","Datum toegevoegd"
"Read Details","Details lezen"
"Severity","Ernst"
"Error while marking as read. Please try again later.","Fout tijdens het markeren als gelezen. Probeer het later nog een keer."
"Error while marking. Please try again later.","Fout tijdens het markeren. Probeer het later nog een keer."
"Error while removing. Please try again later.","Fout tijdens het verwijderen. Probeer het later nog een keer."
"Use HTTPS to get feed","Gebruik HTTPS om de feed op te halen"
"minor","gering"
"Unable to proceed. Please, try again","Kan niet doorgaan. Probeer het nog een keer.a.u.b."
"critical","kritiek"
"Last update","Laatste wijziging"
"Show List","Lijst tonen"
"Mark as read","Markeren als gelezen"
"Mark as Read","Markeren als gelezen"
"notice","melding"
"Notifications","Meldingen"
"Please select messages","Selecteer berichten a.u.b."
"Show Toolbar","Toolbar tonen"
"Total of %d record(s) were successfully marked as read","Totaal van % record(s) gemarkeerd als gelezen"
"Total of %d record(s) were successfully removed","Totaal van % record(s) verwijdered"
"Update frequency","Update-frequentie"
"Remove","Verwijderen"
"Are you sure?","Weet u het zeker?"
