" and "," and "
"Display %s first","%s eerst weergeven"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absoluut of relatief pad naar Magento installatie-root, bijv. var/export)"
"(If left empty will be auto-generated)","(Als u deze leeg laat, wordt er een gegenereerd)"
"(Starting with)","(Beginnend met)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Bij &34;Nee &34; worden alleen ingedeelde velden ge&iuml;mporteerd. Gebruik voor indelen &34;kolom1 &34;,  &34;kolom &34;, etc.)"
"(Leave empty for first spreadsheet)","(Laat leeg voor eerste spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Producten worden toegevoegd/ge&uuml;pdate naar deze winkel als de kolom Winkel ontbreekt of  leeg is in het importbestand.)"
"(You have to increase php memory_limit before changing this value)","(U moet de php memory_limit verhogen voordat u deze waarde verandert.)"
"(For US 2-letter state names)","(Voor 2-letter-codes van staten in VS)"
"(\t for tab)","(t voor tab)"
"- Click on any of the time parts to increase it","- Klik op een deel van de tijdnotatie om het te verhogen"
"- Use the %s buttons to select month","-- Selecteer de maand met de %s knoppen"
"- Use the %s, %s buttons to select year","-- Selecteer het jaar met de %s, %s knoppen"
"To","Aan"
"Recommended","Aanbevolen"
"Qty","Aantal"
"Number of records:","Aantal records:"
"Account Created in:","Account gemaakt in:"
"Account Created on (%s):","Account gemaakt op (%s):"
"Account Created on:","Account gemaakt op:"
"Action","Actie"
"Actions","Acties"
"Add","Add"
"Add new store view map","Add new store view map"
"Add new website map","Add new website map"
"Address Type:","Adrestype:"
"Images","Afbeeldingen"
"Dependencies","Afhankelijkheden"
"Shipping Address","Afleveradres"
"General Settings","Algemene instellingen"
"All","Alle"
"Upgrade All Available Packages","Alle beschikbare pakketten upgraden"
"All fields","Alle velden"
"All Websites","Alle websites"
"Select Visible","Alle zichtbare selecteren"
"Only mapped fields","Alleen aangegeven velden"
"Switch/Solo Only","Alleen Switch/Solo"
"Select All","Alles selecteren"
"API:","API:"
"SKU","Artikelnummer"
"SKU:","Artikelnummer:"
"Attributes","Attributen"
"Start Date","Begindatum"
"Manage Stores","Beheer winkels"
"Add Maintainer","Beheerder toevoegen"
"Maintainers","Beheerders"
"View","Bekijken"
"major","belangrijk"
"Available Products","Beschikbare producten"
"File Information","Bestandsgegevens"
"Archive file name:","Bestandsnaam archief:"
"File name:","Bestandsnaam:"
"Order confirmation email sent","Bestelbevestiging is gemaild"
"Order Totals","Bestelling totalen"
"Confirmed email:","Bevestigde email:"
"Loading...","Bezig met laden..."
"For latest version visit: %s","Bezoek %s voor de laatste versie"
"Resources","Bronnen"
"Bundle Items","Bundel-artikelen"
"Catalog","Catalogus"
"Web Services Configuration","Configuratie web-services"
"Add Contents Path","Content-pad toevoegen"
"Create a backup","Create a backup"
"Create New Staging Store View","Create New Staging Store View"
"Created <strong>%s</strong> items","Created <strong>%s</strong> items"
"Credit Card Number","Creditcard Nummer"
"Credit Card Number: xxxx-%s","Creditcard-nummer: xxxx-%s"
"Credit Card Type","Creditcard-type"
"Credit Card Type: %s","Creditcard-type: %s"
"Credit Memo History","Creditnota geschiedenis"
"CSV / Tab separated","CSV / Tab-gescheiden"
"Dashboard","Dashboard"
"Select date","Datum selecteren"
"Select Date","Datum selecteren"
"Date:","Datum:"
"Date selection:","Datumkeuze:"
"Date selector","Datumkiezer"
"The information in this tab has been changed.","De informatie in deze tab is gewijzigd."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","De PHP-instellingen van uw server staan niet toe om files  te uploaden die groter zijn dan %s. Wijzig de waarden van post_max_size (nu %s) en upload_max_filesize (nu %s) in php.ini als u grotere files wilt uploaden."
"Unselect All","De-selecteer alle"
"Unselect Visible","De-selecteer zichtbare"
"Decimal separator:","Decimaal scheidingsteken:"
"This tab contains invalid data. Please solve the problem before saving.","Deze tab bevat ongeldige data. Los dit probleem op voordat u opslaat."
"DHTML Date/Time Selector","DHTML datum/tijd-kiezer"
"This is a required field.","Dit is een verplicht veld."
"Global Record Search","Doorzoek de hele site"
"Email","E-mail"
"Order confirmation email not sent","E-mail met orderbevestiging is niet verzonden"
"Email Preview","E-mail voorbeeld"
"Email:","E-mail:"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Een bundel met dynamische prijzen kan geen eigen opties bevatten. Opties worden niet opgeslagen."
"Comments History","Eerdere notities"
"Switch/Solo/Maestro(UK Domestic) Only","Enkel Switch/Solo/Maestro(UK binnenland)"
"Entity type:","Entiteittype:"
"Excl. Tax","Excl. BTW"
"Export","Exporteren"
"Export to:","Exporteren naar:"
"Export:","Exporteren:"
"Extension","Extensie"
"Extensions","Extensies"
"Download Remote File","Extern bestand downloaden"
"Remote FTP","Extern FTP"
"Remote URL:","Externe URL"
"Invoice History","Factuur-geschiedenis"
"Invoice Totals","Factuur-totalen"
"Billing Address","Factuuradres"
"Export Filters","Filters exporteren"
"Finished items creation.","Finished items creation."
"FTP Host[:Port]","FTP Host[:Poort]"
"Installed As","Ge&iuml;nstalleerd als"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Gebruik a.u.b. alleen getallen in dit veld, vermijd spaties of andere tekens zoals punten en komma's"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Gebruik alleen letters (a-z) of getallen (0-9) in dit veld. Spaties en andere tekens zijn niet toegestaan"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Gebruik alleen letters (a-z), getallen (0-9), spaties of # in dit veld."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Gebruik dd/mm/jjjj als datum-formaat. Bijvoorbeeld 17/03/2006 voor 17 maart 2006."
"Please use in this field only ""a-z,0-9,_"".","Gebruik in dit veld uitsluitend  ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Gebruik uitsluitend letters (a-z) in dit veld."
"User","Gebruiker"
"Edit User '%s'","Gebruiker '%s'"
"Users","Gebruikers"
"User Name","Gebruikersnaam"
"User name","Gebruikersnaam"
"Done By:","Gedaan door:"
"Done by:","Gedaan door:"
"Please enter a number greater than 0 in this field.","Geef a.u.b. een getal groter dan 0 op in dit veld"
"Please enter a valid social security number. For example 123-45-6789.","Geef een geldig burger-service-nummer op a.u.b. Bijvoorbeeld 123-45-6789."
"Please enter a valid credit card number.","Geef een geldig creditcard-nummer op a.u.b."
"Please enter a valid email address. For example johndoe@domain.com.","Geef een geldig e-mail adres op a.u.b. Bijvoorbeeld: iemand@mail.com ."
"Please enter a valid number in this field.","Geef een geldig getal op in dit veld."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Geef een geldig telefoonnummer op. Bijvoorbeeld (123) 456-7889 of 123-456-7890"
"Please enter a valid date.","Geef een geldige datum op a.u.b."
"Please enter a valid zip code.","Geef een geldige postcode op."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Geef een geldige URL op. Bijvoorbeeld http://www.example.com of www.example.com"
"Please enter a valid URL. http:// is required","Geef een geldige URL op. http:// is noodzakelijk"
"Please enter a valid value from list","Geef een geldige waarde op uit de lijst"
"Please enter a valid value, ex: 10,20,30","Geef een geldige waarde op, bijv.: 10,20,30"
"Please enter 6 or more characters.","Geef meer dan 6 tekens op a.u.b."
"No Data Found","Geen gegevens gevonden"
"No search keywords.","Geen zoektermen."
"Current Release Information","Gegevens huidige release"
"Data Format","Gegevensformaat"
"Data transfer:","Gegevensoverdracht:"
"Shipping method selection is not applicable","Gekozen verzendwijze is niet toepasbaar"
"Provided Files","Geleverde bestanden"
"minor","gering"
"items selected","Geselecteerde artikelen"
"Google Base Items","Google Base Items"
"Group:","Groep:"
"Big Image","Grote afbeelding"
"Help Us Keep Magento Healthy - Report All Bugs","Help Magento gezond te houden. Meld alle bugs."
"- Hold mouse button on any of the above buttons for faster selection.","Houd muisknop vast op een knop hierboven voor snelle selectie"
