"Active","Actief"
"Actions","Acties"
"General Information","Algemene Informatie"
"Attribute Set","Attributenset"
"Start at: %s","Begin op: %s"
"Date Start","Begindatum"
"Description","Beschrijving"
"Order History","Bestelgeschiedenis"
"Gift Messages","Cadeau-berichten"
"Order Gift Messages","Cadeau-berichten bij bestelling"
"Catalog","Catalogus"
"Catalog Price Rule","Catalogus Prijsregel"
"Catalog Price Rules","Catalogus prijsregels"
"Category","Categorie"
"Conditions (leave blank for all products)","Condities (laat leeg voor alle producten)"
"Credit Memos","Creditnota's"
"Order Credit Memos","Creditnota's bij bestelling"
"Date To","Datum tot"
"Date From","Datum vanaf"
"The page you are trying to save no longer exists","De pagina die u probeert op te slaan bestaat niet meer"
"This rule no longer exists","Deze regel bestaat niet meer"
"Comments History","Eerdere notities"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Er zijn regels gewijzigd, maar niet toegepast. Klik op 'Regels toepassen' om direct het resultaat te zien in de catalogus."
"Order Invoices","Facturen"
"Invoices","Facturen"
"ID","ID"
"Inactive","Inactief"
"Yes","Ja"
"Unable to find a page to delete","Kan geen pagina vinden om te verwijderen"
"Unable to apply rules","Kan regels niet toepassen"
"Customer registered: %s","Klant geregistreerd: %s"
"Customer is new buyer: %s","Klant is nieuwe koper: %s"
"Customer Groups","Klantengroepen"
"Name: %s","Naam: %s"
"No","Nee"
"NOT LOGGED IN","NIET INGELOGD"
"New Rule","Nieuwe regel"
"Add New Rule","Nieuwe regel toevoegen"
"Description: %s","Omschrijving: %s"
"Save and Apply","Opslaan en toepassen"
"Options","Opties"
"Priority","Prioriteit"
"Product Attribute","Product-attribuut"
"Update product's %s %s: %s","Producten %s %s: %s updaten"
"Promotions","Promoties"
"Edit Rule '%s'","Regel ‘%s’ bewerken"
"Edit Rule","Regel bewerken"
"Rule was successfully deleted","Regel is mdg succes verwijderd"
"Rule was successfully saved","Regel is met succes opgeslagen"
"Save Rule","Regel opslaan"
"Delete Rule","Regel verwijderen"
"Rule Information","Regelgegevens"
"Rule Name","Regelnaam"
"Apply Rules","Regels toepassen"
"Rules were successfully applied","Regels zijn met succes toegepast"
"Status","Status"
"Stop further rules processing","Stop met verder uitvoeren van regels"
"To Date","Tot datum"
"From Date","Vanaf datum"
"Date Expire","Verloopdatum"
"Expire at: %s","Verloopt op: %s"
"Shipments","Verzendingen"
"Order Shipments","Verzendingen bij bestelling"
"Conditions","Voorwaarden"
"Conditions Combination","Voorwaarden combinatie"
"Websites","Websites"
