"%s and greater","%s en groter"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d artikel(en)</strong> gevonden met de volgende zoekopdracht"
"Subscribe to Feed","Abonneren op Feed"
"All","Alle"
"Applies for ""Like"" Search type only","Alleen bij zoekopdrachten met 'Like'"
"Autogenerated site map","Automatisch aangemaakte sitemap"
"Catalog Search","Catalogus doorzoeken"
"Catalog Advanced Search","Catalogus geavanceerd zoeken"
"Search entire store here...","Doorzoek de hele winkel"
"Search Site","Doorzoek site"
"No items were found using the following search criteria.","Er zijn geen items gevonden met de volgende zoekcriteria"
"There are no search terms available.","Er zijn momenteel geen populaire trefwoorden beschikbaar."
"Grid","Foto-tabel"
"Go to Home Page","Ga naar Home"
"Advanced Search","Geavanceerd zoeken"
"Please enter ""0"" to enable layered navigation for any number of results","Geef '0' in om gelaagde navigatie in te schakelen voor elk aantal resultaten"
"Apply Layered Navigation if search results are less than","Gelaagde navigatie gebruiken als er minder zoekresultaten zijn dan"
"Go","Go"
"Home","Home"
"Yes","Ja"
"List","Lijst"
"Maximum Query Words Count","Maximale aantal woorden in zoekopdracht"
"Maximum Search query  length is %s. Your query was cut.","Maximale lengte van zoekopdracht is %s. Uw opdracht is afgekapt."
"Maximum Query Length","Maximale lengte zoekopdracht"
"Minimal Query Length","Minimale lengte zoekopdracht"
"No","Nee"
"Don't see what you're looking for?","Niet gevonden wat u zocht?"
"Popular search terms","Populaire zoekwoorden"
"Popular Search Terms","Populaire zoekwoorden"
"Relevance","Relevantie"
"Results","Resultaten"
"up to %s","tot %s"
"You have to specify at least one search term","U moet tenminste &eacute;&eacute;n zoekterm opgeven"
"Your search returns no results.","Uw zoekactie had geen resultaat"
"Required Fields","Verplichte velden"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Wijziging attribuut-instellingen is gekoppeld aan zoekindex. Voer <a href=""%s"">Herstel Zoekindex</a> uit a.u.b."
"Search","Zoeken"
"Search Settings","Zoekinstellingen"
"Modify your search","Zoekopdracht bewerken"
"Search results for: '%s'","Zoekresultaten voor ‘%s’"
"Search results for '%s'","Zoekresultaten voor ‘%s’"
"Search Terms","Zoektermen"
"Search Type","Zoektype"
