"%s already exists","%s bestaat al"
"%s already exist","%s bestaat al"
"Prototype Deprecation Log","'Prototype depreciation log'"
"-- Please Select --","-- Selecteer a.u.b. --"
"Custom admin URL","Aangepaste admin-URL"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Admin Base URL","Admin basis-URL"
"Admin User Emails","Admin gebruikers-emails"
"Sender email","Afzender e-mail"
"General","Algemeen"
"General contact","Algemeen contact"
"General Settings","Algemene instellingen"
"This category only","Alleen deze categorie"
"Use HTTP Only","Alleen HTTP gebruiken"
"Logo Image Alt","Alt-tekst logo"
"Cancel","Annuleren"
"Copyright","Auteursrecht"
"Back to Main Product Info","Back to Main Product Info"
"Backup options","Backup-opties"
"Base JavaScript URL","Basis JavaScript-URL"
"Base Link URL","Basis link-URL"
"Base Media URL","Basis media-URL"
"Base Skin URL","Basis skin-URL"
"Root Category","Basis-categorie (""root"")"
"Base URL","Basis-URL"
"Manage Stores","Beheer winkels"
"Admin","Beheerder"
"Developer Client Restrictions","Beperkingen client-applicatie van ontwikkelaar"
"Logo Image Src","Bestand logo-plaatje"
"System Log File Name","Bestandsnaam 'system log'"
"Exceptions Log File Name","Bestandsnaam uitzonderingen-log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Bezig met loggen vanuit Mage::logException(). Bestand staat in {{base_dir}}/var/log"
"Block with name ""%s"" already exists","Blok met naam ""%s"" bestaat al"
"Add Block Names to Hints","Bloknamen aan Hints toevoegen"
"Resource is not set","Bron is niet ingesteld"
"Model collection resource name is not defined","Bronnaam model collection is niet gedefinieerd"
"Category object is required for determining product request path","Categorie-object is vereist om opvraagpad van een product te bepalen"
"Code","Code"
"Compare Products","Compare Products"
"Configuration","Configuratie"
"Before modifying the website code please make sure that it is not used in index.php","Controleer voordat u de websitecode aanpast, of deze niet wordt gebruikt in index.php"
"Before modifying the store view code please make sure that it is not used in index.php","Controleer voordat u het winkelzicht aanpast, of het niet gebruikt wordt in index.php"
"Controller file was loaded but class does not exist","Controller-bestand is geladen, maar de class bestaat niet"
"Cookie Domain","Cookie Domein"
"Cookie Lifetime","Cookie levensduur"
"Cookie Path","Cookie Pad"
"Select Date","Datum selecteren"
"Date To","Datum tot"
"Date From","Datum vanaf"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","De basis-URL moet eindigen met een '/' (slash), bijv. http://uwdomein/magento/"
