"Found %d rows","%d rijen gevonden"
"Processed records: %s","%s records verwerkt"
"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Starting %s :: %s","Beginnen met %s :: %s"
"File ""%s"" don't exist","Bestand ""%s"" bestaat niet"
"Sheet 1","Blad 1"
"Destination folder ""%s"" does not exist or not access to create","Doelmap “%s” bestaat niet of is niet toegankelijk"
"Destination folder ""%s"" is not a directory","Doelmap “%s” is geen directory"
"Destination folder ""%s"" is not a writeable","Doelmap “%s” is niet schrijfbaar"
"Dry run set, stopping execution","Dry run set, bezig uitvoering te stoppen"
"ETA: %s","ETA: %s"
"Error field mapping! Fields list for mapping is not defined","Fout bij veldtoewijzing. Velden-lijst hiervoor is niet gedefinieerd"
"Error occured during file opening: ""%s""","Fout opgetreden tijdens openen van bestand: “%s”"
"Memory Used: %s","Gebruikt geheugen: %s"
"Please declare ""adapter"" and ""method"" node first","Geef eeerst een ""adapter-"" en ""method-""knoop op"
"Access denied to destination folder ""%s""","Geen toegang tot doelmap “%s”"
"Could not load file: ""%s""","Kan bestand “%s” niet laden"
"Could not save file: %s","Kan bestand niet opslaan: “%s”"
"Done","Klaar"
"Loaded successfully: ""%s""","Met succes geladen: “%s”"
"Saved successfully: ""%s"" [%d byte(s)]","Met succes opgeslagen: %s [%d byte(s)]"
"Method ""%s"" not defined in adapter %s","Methode “%s” is niet gedefinieerd in adapter %s"
"Less than a minute","Minder dan een minuut"
"minutes","minuten"
"minute","minuut"
"Skip undefined row","Ongedefinieerde rij overslaan"
"Declared adapter %s not found","Opgegeven adapter %s niet gevonden"
"Total records: %s","Totaal-aantal records: %s"
"hours","uren"
"hour","uur"
