"-- Please Select --","-- Selecteer a.u.b. --"
"Account Registration","Account-registratie"
"Multi Address Checkout","Afrekenen met meer adressen"
"One Page Checkout","Afrekenen op 1 pagina"
"All fields of script types have to be filled.","Alle velden van scripttypes moet zijn gevuld"
"Other","Andere"
"Attributes","Attributen"
"Control Script","Control-script"
"Conversion Page","Conversiepagina"
"Conversion Script","Conversiescript"
"Use Default","Gebruik standaard"
"Use Default Values","Gebruik standaard-waarde"
"Google Optimizer Scripts","Google Optimizer-scripts"
"Google Website Optimizer","Google Website Optimizer"
"Enable","Inschakelen"
"Please copy and paste this value to experiment edit form","Kopieer en plak deze waarde om het formulier te testen"
"Limit is 8 attributes only.","Maximaal 8 attributen."
"Original Page","Oorspronkelijke pagina"
"Category View Optimization","Optimalisatie categorieweergave"
"Page View Optimization","Optimalisatie paginaweergave"
"Product View Optimization","Optimalisatie productweergave"
"Order Success (Multi Address Checkout)","Ordersucces (afrekenen met meer adressen)"
"Order Success (One Page Checkout)","Ordersucces (afrekenen op 1 pagina)"
"Page Type","Paginatype"
"Install Scripts","Scripts installeren"
"Please select store view to see the URL","Selecteer het winkelzicht om de URL te zien"
"Tracking Script","Tracking-script"
"Conversion Page URL","URL conversiepagina"
"Scripts Install URL","URL scripts installeren"
"Shopping Cart","Winkelwagen"
"Variant Page","Wisselende pagina"
