"(Optional. Leave blank for no prefix)","(Optioneel. Laat het veld leeg voor geen voorvoegsel)"
"(ver. %s)","(versie %s)"
"(Make sure you keep it in a safe place.)","(Zorg ervoor dat u het goed bewaard.)"
"Last Name","Achternaam"
"Admin Path","Admin pad"
"Create Admin Account","Admin-account aanmaken"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Alleen aanvinken als het niet mogelijk is de Secure-URL automatisch te valideren, bijvoorbeeld als HTTP-authenticatie verplicht is."
"Check this box only if it is not possible to automatically validate Base URL.","Alleen aanvinken als het niet mogelijk is om de Base-URL automatisch te valideren."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Als alternatief kunt u de ""Handmatige Downloads en Upgrades"" methode proberen."
"If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method.","Als u de installatie-wizard over de eerder gedownloade en geïnstalleerde Magento installatie draait, ga dan verder met deze methode."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Als u de Magento folders niet voor het web-proces beschijfbaar wilt of kunt instellen, dan kunt u de PEAR executable in de root van de Magento installatie gebruiken."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Als u Magento pakketten en/of modules in het Admin Panel wilt kunnen beheren, dienen de Magento folders en bestanden beschrijfbaar te zijn voor het webproces."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Als u PHP als CGI draait, kunnen uw PHP-processen onder hetzelfde account draaien als het account dat u gebruikt voor het uploaden van Magento bestanden."
"If your server is running on MS Windows, most probably you will not need to change anything.","Als uw server op MS Windows draait, hoeft u hoogstwaarschijnlijk niets te wijzigen."
"Base URL","Basis-URL"
"Check out our","Bekijk onze"
"File system","Bestandsysteem"
"Password Confirmation","Bevestiging wachtwoord"
"Confirm Password","Bevstig het wachtwoord"
"Downloading and installing Magento, please wait...","Bezig Magento te downloaden en te installeren. Even wachten a.u.b."
"Configuration","Configuratie"
"Database","Database"
"Database user name","Database gebruikersnaam"
"Database user password","Database gebruikerswachtwoord"
"Database host","Database host"
"Database server version does not match system requirements (required: %s, actual: %s)","Database server versie voldoet niet aan systeem vereisten (verplicht: %s, werkelijk: %s)"
"Database Name","Database-naam"
"Database Connection","Database-verbinding"
"Database server does not support InnoDB storage engine","De database server ondersteunt het InnoDB opslagsysteem niet"
"All packages were installed successfully, click 'Ok' to continue with installation","De installatie is succesvol verlopen. Klik op OK om verder te gaan met de installatie"
"Enable this option only if you have SSL available.","Deze optie alleen aanzetten als SSL beschikbaar is."
"If you are a developer and would like to have the latest public updates, choose this option.","Deze optie selecteren als u ontwikkelaar bent en de laatste openbare updates wilt hebben."
"This Url is invalid","Deze URL is ongeldig"
"Currently this is the most stable state available for Magento packages.","Dit is momenteel de meest stabiele versie die beschikbaar is voor Magento pakketten."
"Download","Download"
"Download Magento Core Modules and Updates","Download Magento Core modules en updates"
"Run this in your shell from Magento root folder:","Draai dit in een shell vanuit de Magento root folder:"
"Email","E-mail"
"Email Address","E-mailadres"
"One from PHP Extensions ""%s"" must be loaded","Een van PHP-extensies ""%s"" moet geladen zijn"
"Encryption Key","Encryptiesleutel"
"There was a problem installing Magento packages. Please read the log, correct errors and retry again.","Er was een probleem tijdens het installeren van het Magento pakket en/of modules. Controleer het log bestand, corrigeer eventuele fouten en probeer het opnieuw."
"Get ready to experience Open-Source eCommerce Evolved.","Ervaar nu de Open Source e-Commerce Evolved"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Extra pad toegevoegd achter de Basis-URL om uw Admin Paneel te bereiken (bv. admin, backend, control etc.)"
"Database connection error","Fout in database-verbinding"
"Go to Backend","Ga naar het back-end"
"Go to Frontend","Ga naar het front-end"
"Continue","Ga verder"
"Proceed With Automatic Download (%s)","Ga verder met automatische download (%s)"
"Continue After Manual Download","Ga verder na handmatige download"
"Run admin interface with SSL","Gebruik de admin=interface via SSL"
"Use Secure URLs (SSL)","Gebruik Secure URLs (SSL)"
"Use Web Server (Apache) Rewrites","Gebruik Web Server (Apache) Rewrites"
"User Name","Gebruikersnaam"
"Username","Gebruikersnaam"
"User Password","Gebruikerswachtwoord"
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","Gebruikt u niet de standaard UNIX socket (/var/run/mysqld/mysqld.sock)?<br/> Dan kunt u gebruik maken van servernaam:poort, bijvoorbeeld:localhost:3306"
"Provide a complete base URL for SSL connection. For example: %s","Geef een volledige base-URL voor SSL-verbinding. Bijvoorbeeld: %s"
"Manual Downloads and Upgrades","Handmatige downloads en upgrades"
"Help Us to Keep Magento Healthy","Help ons Magento gezond te houden."
"Host","Host"
"I agree to the above terms and conditions","Ik ga akkoord met bovenstaande voorwaarden"
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","In overige gevallen dient u de Magento bestanden beschrijfbaar te maken voor het account waar het webproces onder draait."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Indien u de volledige pakketten hebt gedownload of Magento middels SVN hebt geïnstalleerd, kunt u de pakket-installatie en -validatie overslaan door op de knop hieronder te klikken."
"Installation","Installatie"
"Installation Guide","Installatiehandleiding"
"Choose this if you would like to test frontend and backend functionality.","Kies dit als u de functionaliteit van het front-end en back-end wilt testen."
"Please note that only UNIX, Linux and Mac OSX shells are currently supported. For Windows use the '%s' option.","Let op, alleen UNIX, LINUX en MAC OSX shells worden momenteel ondersteund. Voor Windows gebruikt u de '%s' optie."
"Please note that it is much less stable than beta.","Let op, deze code is stukken minder stabiel dan de beta."
"Login Information","Login-gegevens"
"Locale settings","Lokale instellingen"
"Localization","Lokalisatie"
"Locale","Lokalisatie"
"Magento","Magento"
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento gebruikt deze code om wachtwoorden, creditcards etc. te versleutelen. Als u dit veld leeg laat, zal het systeem een encryptiecode voor u aanmaken en deze op de volgende pagina tonen."
"Magento Installation Wizard","Magento Installatie-wizard"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento is een handelsmerk van Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Report All Bugs","Meld alle bugs."
"After successfull installation please click the button below.","Na een succesvolle installatie, a.u.b. op de onderstaande knop klikken."
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Noteer uw encryptiesleutel voordat u weer naar uw winkel gaat! (Magento gebruikt deze om wachtwoorden, creditcards etc. te versleutelen.)"
"Path ""%s"" must be writable","Pad ""%s"" moet beschrijfbaar zijn"
"Package Management through the Web","Pakket en module beheer via het web"
"Personal Information","Persoonlijke gegevens"
"PHP Extension ""%s"" must be loaded","PHP-extensie '%s' moet geladen zijn"
"PHP Extension '%s' loaded","PHP-extension '%s' is geladen"
"Having trouble installing Magento?","Problemen met het installeren van Magento?"
"Secure Base URL","Secure Base-URL"
"Session storage options","Sessie opslagopties"
"Save session files in","Sessie-bestanden opslaan in"
"Save session data in","Sessie-gegevens opslaan in"
"Preferred stability: %s","Stabiliteitsvoorkeur: %s"
"Default Currency","Standaard-valuta"
"Tables Prefix","Tabel-voorvoegsel"
"Table prefix should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Tabel-voorvoegsel mag alleen uit letters (a-z), cijfers (0-9) en underscores (_) bestaan. Het eerste teken moet een letter zijn."
"Time Zone","Tijdzone"
"You're All Set","U bent klaar voor de start"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","U kunt deze optie instellen om de web server rewrites functie te gebruiken voor zoekmachine optimalisatie."
"Url ""%s"" is invalid","URL ""%s"" is ongeldig"
"Url ""%s"" is not accessible","URL ""%s""is niet toegankelijk"
"Skip Base URL validation before next step","Validatie basis-URL voor volgede stap overslaan"
"Skip Secure URL validation before next step","Validatie secure-URL voor volgende stap overslaan"
"Connection","Verbinding"
"Required Fields","Verplichte velden"
"Full Download / SVN Installation","Volledige Download / SVN installatie"
"Continue Full Download / SVN Installation","Volledige Download / SVN Installatie vervolgen"
"First Name","Voornaam"
"Password","Wachtwoord"
"Web access options","Web toegang opties"
"Welcome to Magento's Installation Wizard","Welkom bij Magento's Installatie Wizzard"
"Setting preferred state to: %s","Zet voorkeur voor versie naar: %s"
"Please set all required settings before clicking Continue","Zorg dat alle verplchte instellingen correcte waarden hebben voordat u op Doorgaan klikt"
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Zorg ervoor dat de <code>mod_rewrite</code> module in de Apache configuratie is geactiveerd."
