"Created at","Aangemaakt op"
"Purchases","Aankopen"
"Quantity of Items","Aantal artikelen"
"Number of Items","Aantal artikelen"
"Number of items bought from a wishlist: %s","Aantal artikelen gekocht van een verlanglijst: %s"
"Number Viewed","Aantal bekeken"
"Quantity Ordered","Aantal besteld"
"Number of Orders","Aantal bestellingen"
"Number of wishlist conversions: %s","Aantal conversies van verlanglijsten: %s"
"Number of Ivoiced Orders","Aantal gefactureerde bestellingen"
"Number Purchased","Aantal gekocht"
"Stock Qty","Aantal in voorraad"
"Number of Views","Aantal keren bekeken"
"Number of times wishlists have been shared (emailed): %s","Aantal keren dat verlanglijsten zijn gedeeld (per e-mail): %s"
"Number Of Uses","Aantal keren gebruikt"
"Number Of Historical Uses","Aantal keren gebruikt in historie"
"Number of times deleted","Aantal keren verwijderd"
"Number of New Accounts","Aantal nieuwe accounts"
"Number of Reviews","Aantal reviews"
"Number Of Reviews","Aantal reviews"
"Number of Refunded Orders","Aantal terugbetaalde bestellingen"
"Number Added","Aantal toegevoegd"
"Number of Unique Tags","Aantal unieke tags"
"Number of wishlists: %s","Aantal verlanglijsten: %s"
"Number of wishlist referrals: %s","Aantal verwijzingen in verlanglijsten: %s"
"Number Fulfilled","Aantal voldaan"
"Abandoned carts","Achtergelaten winkelwagens"
"Last Name","Achternaam"
"Action","Actie"
"Items in Cart","Artikelen in winkelwagen"
"Product Sku","Artikelnummer"
"Items Ordered","Bestelde artikelen"
"Orders","Bestellingen"
"Tax","BTW"
"Tax Amount","BTW-bedrag"
"CSV","CSV"
"Day","Dag"
"Detail","Detail"
"Downloads","Downloads"
"Email","E-mail"
"Product Tags","Eigen tags"
"Excel","Excel"
"Guest","Gast"
"Tag use","Gebruik van tag"
"Applied Coupon","Gebruikte kortingsbon"
"Invoiced","Gefactureerd"
"Bought from wishlists","Gekocht van verlanglijst"
"Avg. approved rating","Gemiddelde erkende score"
"Avg. rating","Gemiddelde score"
"Hits","Hits"
"ID","ID"
"Add to Cart","In winkelwagen"
"Revenue","Inkomsten"
"Year","Jaar"
"Customer","Klant"
"Customers","Klanten"
"Customers that have wishlist: %s%","Klanten met een verlanglijst: %s%"
"Customers by number of orders","Klanten per aantal bestellingen"
"Customers by orders total","Klanten per totaal bestelbedrag"
"Customers Reviews","Klanten-reviews"
"Customers Report","Klantenrapport"
"Customer Name","Klantnaam"
"Discounts","Kortingen"
"Coupons","Kortingsbonnen"
"Last Review","Laatste review"
"Link","Link"
"Month","Maand"
"Most viewed","Meest bekeken"
"Most Viewed","Meest bekeken"
"Bestsellers","Meest verkocht"
"Name","Naam"
"Out of stock","Niet in voorraad"
"New Accounts","Nieuwe accounts:"
"Offline Refunded","Offline terugbetaald"
"Invalid date specified","Ongeldige datum ingevoerd"
"Online Refunded","Online terugbetaald"
"Popular Tags","Populaire tags"
"Popularity","Populariteit"
"Price","Prijs"
"Product Reviews","Product-reviews"
"Products Tags","Product-tags"
"Products","Producten"
"Products in carts","Producten in winkelwagens"
"Products Report","Productenrapport"
"Poducts Report","Productenrapport"
"Product Name","Productnaam"
"Products Sold","Products Sold"
"Reports","Rapporten"
"Recently Viewed Products","Recent bekeken"
"Recently Viewed/Compared Products","Recent bekeken/vergeleken producten"
"Recently Compared Products","Recent vergeleken producten"
"Results","Resultaten"
"Review","Review"
"Reviews","Reviews"
"Products Reviews","Reviews"
"Reviews for %s","Reviews voor %s"
"Default Recently Viewed Products count","Standaard-aantal onlangs bekeken producten"
"Default Recently Compared Products count","Standaard-aantal onlangs vergeleken producten"
"Subtotal","Subtotaal"
"Tag","Tag"
"Tag ""%s"" details","Tag “%s” details"
"Tag Detail","Tag detail"
"Tag Name","Tag-naam"
"Tags submited by %s","Tags ingestuurd door %s"
"Tags submitted to %s","Tags ingestuurd naar %s"
"Customer Tags","Tags van klant"
"Customers Tags","Tags van klanten"
"Rate","Tarief"
"Refunded","Terugbetaald"
"Title","Titel"
"Show for Current","Tonen voor huidige"
"Add to Compare","Toon in vergelijking"
"Total","Totaal"
"Number of Total Tags","Totaal aantal tags"
"Total Tags","Totaal aantal tags"
"Total Invoiced","Totaal gefactureerd"
"Total invoiced","Totaal gefactureerd"
"Total Invoiced Captured","Totaal gefactureerd 'captured'"
"Total Invoiced not Captured","Totaal gefactureerd niet 'captured'"
"Total Refunded","Totaal teruggestort"
"Total refunded","Totaal teruggestort"
"Total Shipping","Totaal verzonden"
"Updated at","Update op"
"Your Recently Viewed","Uw onlangs bekeken"
"Your Recently Compared","Uw onlangs vergeleken"
"Sales Report","Verkooprapport"
"Sales","Verkopen"
"Wishlist vs. Regular Order","Verlanglijst vs normale bestelling"
"Wishlist Report","Verlanglijst-rapport"
"Wishlists","Verlanglijsten"
"Carrier/Method","Vervoerder/methode"
"Shipping","Verzending"
"Submitted In","Verzonden in"
"Submitted On","Verzonden op"
"First Name","Voornaam"
"Low stock","Weinig in voorraad"
"Shopping Cart","Winkelwagen"
"Carts","Winkelwagens"
"Add to Wishlist","Zet op verlanglijst"
"Visible In","Zichtbaar in"
"Search Terms","Zoektermen"
