" The customer doesn't exist in the system anymore"," The customer doesn't exist in the system anymore"
"""%s"" coupon code is not valid.","""%s"" kortingscode is niet geldig."
"%s / %s rate:","%s / %s koers"
"%s order(s) successfully released from holding status","%s bestellingen gereactiveerd"
"%s order(s) successfully canceled","%s order(s) geannuleerd"
"%s order(s) successfully put on hold","%s order(s) stopgezet"
"%s for %s","%s voor %s"
"Invoice can not be captured","'Capture' van factuur niet mogelijk"
"* - Enter custom price excluding tax","* - Voer speciale prijs in exclusief BTW"
"* - Enter custom price including tax","* - Voer speciale prijs in inclusief BTW"
"To","Aan"
"Add To Order","Aan bestelling toevoegen"
"To Name","Aan naam"
"Created At","Aangemaakt op"
"Signed Up From","Aangemeld vanaf"
"Create","Aanmaken"
"Adjustment Refund","Aanpassings-terugbetaling"
"Adjustment Refund:","Aanpassings-terugbetaling:"
"Adjustment Fee","Aanpassingstarief"
"Adjustment Fee:","Aanpassingstarief:"
"Qty","Aantal"
"QTY","AANTAL"
"Item ordered qty","Aantal bestelde artikelen"
"Qty to Invoice","Aantal te factureren"
"Qty to Ship","Aantal te verzenden"
"Qty to Refund","Aantal terug te betalen"
"Qty To Add","Aantal toe te voegen"
"Update Qty's","Aantallen updaten"
"Account Information","Account-gegevens"
"Action","Actie"
"Actions","Acties"
"Address","Adres"
"Print","Afdrukken"
"Shipping Address","Afleveradres"
"Credit Memo Email Sender","Afzender creditnota"
"Order Comment Email Sender","Afzender e-mail met bestellingsnotitie"
"New Order Confirmation Email Sender","Afzender e-mail met bevestiging nieuwe bestelling"
"Shipment Comment Email Sender","Afzender e-mail met verzendnotitie"
"Shipment Email Sender","Afzender e-mail verzending"
"Invoice Email Sender","Afzender factuur"
"Invoice Comment Email Sender","Afzender factuurnotitie"
"Credit Memo Comment Email Sender","Afzender notitie bij creditnota"
"Print Credit Memos","Alle creditnota's printen"
"Print All Invoices","Alle facturen printen"
"Print All Refunds","Alle terugbetalingen printen"
"Print All Shipments","Alle verzendingen printen"
"Print All","Alles printen"
"If empty, the default description above will be used","Als er niets is ingevuld zal de standaard- beschrijving hierboven worden gebruikt."
"If empty, the default error above will be used","Als er niets wordt ingevuld, zal de standaard foutmelding hierboven worden gebruikt"
"Cancel","Annuleren"
"Item","Artikel"
"Update Items and Qty's","Artikelen en aantallen updaten"
"SKU","Artikelnummer"
"Sku","Artikelnummer"
"Item object is not specified.","Artikelobject niet gespecificeerd."
"Item option with code %s already exist","Artikeloptie met code %s bestaat al"
"Item Status","Artikelstatus"
"Amount","Bedrag"
"Refund Amount","Bedrag terugbetaling"
"View All","Bekijk alles"
"View","Bekijken"
"Order View","Bekijken van bestelling"
"Message","Bericht"
"Gift Message","Bericht bij cadeau"
"Edit Gift Messsage","Bericht bij cadeau bewerken"
"Add Gift Messsage","Bericht bij cadeau toevoegen"
"Save and Close Message","Bericht opslaan en sluiten"
"Message:","Bericht:"
"Multi-address description message","Beschrijving bij meer adressen"
"Buy %s for price %s","Bestel %s stuks voor %s"
"Order API","Bestel-API"
"Order object is not specified.","Bestel-object is niet gespecificeerd."
"Ordered","Besteld"
"Qty Ordered","Besteld aantal"
"Order Date","Besteldatum"
"Order Date (%s)","Besteldatum (%s)"
"Order Date: %s","Besteldatum: %s"
"Items Ordered","Bestelde artikelen"
"Order Information","Bestelgegevens"
"Retrieve orders info","Bestelgegevens opvragen"
"Retrieve order information","Bestelgegevens opvragen"
"Order History","Bestelgeschiedenis"
"Retrieve list of orders by filters","Bestellijst opvragen met filters"
"Order","Bestelling"
"Order #%s","Bestelling #%s"
"Order #%s - %s","Bestelling #%s - %s"
"Edit Order #%s","Bestelling #%s wijzigen"
"Cancel order","Bestelling annuleren"
"View Order","Bestelling bekijken"
"Submit Order","Bestelling inboeken"
"Order was placed using %s","Bestelling is geplaatst met %s"
"Order was not cancelled.","Bestelling is niet geannuleerd."
"Order was not unholded.","Bestelling is niet van Vasthouden afgehaald."
"Order was successfully put on hold.","Bestelling is op Vasthouden gezet."
"Order was successfully cancelled.","Bestelling is succesvol geannuleerd."
"Order was successfully released from holding status.","Bestelling is van Vasthouden afgehaald."
"Order # %s","Bestelling nr. %s"
"Print Order","Bestelling printen"
"Order Totals","Bestelling totalen"
"Hold order","Bestelling vasthouden"
"Unhold order","Bestelling vrijgeven"
"Order was not put on hold.","Bestelling was niet op Vasthouden gezet."
"Orders","Bestellingen"
"Order Comments","Bestellingsnotities"
