" for more information or email us at "," for more information or email us at "
"# of Items (and above)","# artikelen (en hierboven)"
"# of Items vs. Destination","# artikelen versus bestemming"
"Delivered to:","Afgeleverd aan:"
"Delivered on:","Afgeleverd op:"
"Store Pickup","Afhalen"
"Description","Beschrijving"
"Handling Fee","Bestelkosten"
"Calculate Handling Fee","Bestelkosten berekenen"
"Condition","Conditie"
"Date","Datum"
"The shipping module is not available for selected delivery country","De verzendmodule is niet beschikbaar voor het geselecteerde land van aflevering"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Deze verzendwijze is momenteel niet beschikbaar. Als u deze verzendwijze wilt gebruiken, neem dan contact met ons op."
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Duplicate rij #%s (Land ""%s"", Provincie ""%s"", Postcode ""%s"" en waarde ""%s"")"
"There is no tracking available for this shipment.","Er is geen tracking beschikbaar voor deze verzending."
"There is no tracking available.","Er is geen tracking beschikbaar."
"Export","Exporteren"
"Error:","Fout:"
"None","Geen"
"Signed by:","Getekend door"
"Weight (and above)","Gewicht (en daarboven)"
"Weight vs. Destination","Gewicht versus bestemming"
"Weight:","Gewicht:"
"Free Shipping","Gratis verzending"
"Origin","Herkomst"
"Import","Importeren"
"Info:","Info:"
"Enabled","Ingeschakeld"
"Show method if not applicable","Laat verzendwijze zien indien niet van toepassing"
"Country","Land"
"Location","Locatie"
"Local Time","Lokale tijd"
"Maximum qty allowed for Shipping to multiple addresses","Maximaal aantal voor verzending naar meer adressen"
"Minimum order amount","Minimum bestelbedrag"
"N/A","N/B"
"Method name","Naam van methode"
"contact us","neem contact op"
"Invalid %s ""%s"" in the Row #%s","Ongeldig %s ""%s"" in de rij #%s"
"Invalid Table Rates File Format","Ongeldig bestandsformaat van prijstabel"
"Invalid Country ""%s"" in the Row #%s","Ongeldig land ""%s"" in de rij #%s"
"Invalid Table Rate code type: %s","Ongeldige prijstabel-code type: %s"
"Invalid Table Rate code for type %s: %s","Ongeldige prijstabel-code voor type %s: %s"
"Invalid Region/State ""%s"" in the Row #%s","Ongeldige provincie “%s” in de rij #%s"
"Invalid Shipping Price ""%s"" in the Row #%s","Ongeldige verzendkosten “%s” in de rij #%s"
"Options","Opties"
"Per Order","Per bestelling"
"Per Package","Per pakket"
"Percent","Percentage"
"City","Plaats"
"ZIP/Postal Code","Postcode"
"Price","Prijs"
"Price vs. Destination","Prijs versus bestemming"
"Region/State","Provincie"
"Shipping Settings Section","Sectie Verzend-instellingen"
"Shipping Methods Section","Sectie Verzendwijzen"
"Service Type:","Service-type"
"Close Window","Sluit venster"
"Sort order","Sorteer volgorde"
"Status:","Status:"
"Order Subtotal (and above)","Subtotaal bestelling (en hierboven)"
"Table rates","Tarieven prijstabel"
"Title","Titel"
"Tracking information is currently not available. Please ","Tracking information is currently not available. Please "
"Tracking information is currently unavailable.","Tracking-gegevens zijn momenteel niet beschikbaar."
"Tracking Number:","Tracking-nummer:"
"Track:","Tracking:"
"Type","Type"
"Fixed","Vast"
"Flat Rate","Vast tarief"
"Carrier:","Vervoerder:"
"Shipping Settings","Verzend-instellingen"
"Ship to Specific countries","Verzenden naar bepaalde landen"
"Ship to applicable countries","Verzenden naar landen die van toepassing zijn"
"Allow Shipping to multiple addresses","Verzending naar meer adressen toestaan"
"Shipment #","Verzending nr."
"Shipping Methods","Verzendwijzen"
"Shipped or billed on:","Verzonden of betaald op:"
"Displayed Error Message","Weergeven foutbericht"
