"# of Uses","# keer gebruikt"
"%s tag(s) have been accepted for moderation","%s tag(s) zijn geaccepteerd voor beoordeling"
"Last Name","Achternaam"
"Action","Actie"
"Actions","Acties"
"General Information","Algemene Informatie"
"All Tags","Alle tags"
"View All Tags","Alle tags bekijken"
"Other people marked this product with these tags:","Anderen markeerden dit product met deze tags:"
"SKU","Artikelnummer"
"Product SKU","Artikelnummer"
"Thank you. Your tag has been accepted for moderation.","Bedankt. Uw tag is geaccepteerd voor beoordeling"
"View All","Bekijk alles"
"Block Information","Blok informatie"
"CSV","CSV"
"Email","E-mail"
"Product Tags","Eigen tags"
"Grid","Foto-tabel"
"Use spaces to separate tags. Use single quotes (') for phrases.","Gebruik spaties om tags te scheiden. Gebruik enkele aanhalingstekens (‘) voor woordgroepen."
"Uses","Gebruiken"
"No matches found.","Geen resultaten"
"Approved","Goedgekeurd"
"Pending Tags","Hangende tags"
"ID","ID"
"Add to Cart","In winkelwagen"
"Customer Since","Klant sinds"
"Customers","Klanten"
"View Customers","Klanten bekijken"
"Customers Tagged '%s'","Klanten getagd ‘%s’"
"Click on a tag to view your corresponding products.","Klik op een tag om de btreffende producten te bekijken"
"Unable to find any products tagged with '%s' in the current store","Kon geen producten vinden met de tag ‘%s’ in de huidige winkel"
"Unable to remove tag. Please, try again later.","Kon tag niet verwijderen. Probeer later opnieuw."
"Unable to save tag(s)","Kon tag(s) niet opslaan."
"Unable to save your tag. Please, try again later.","Kon uw tag niet opslaan. Probeer later opnieuw."
"Country","Land"
"List","Lijst"
"My Recent Tags","Mijn recente tags"
"My Tags","Mijn tags"
"Name","Naam"
"New Tag","Nieuwe tag"
"Add New Tag","Nieuwe tag toevoegen"
"Popular","Populair"
"Popular Tags","Populaire tags"
"Popularity","Populariteit"
"ZIP/Post Code","Postcode"
"Price","Prijs"
"Products","Producten"
"View Products","Producten bekijken"
"Products tagged with '%s'","Producten getagd met ‘%s’"
"Products Tagged with '%s'","Producten getagd met ‘%s’"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Producten getagd met ‘%s’ (<a href=’%s’>RSS</a>)"
"Product Name","Productnaam"
"Status","Status"
"Change status","Status wijzigen"
"Tag","Tag"
"Tag ""%s"" has already been added to the product","Tag ""%s"" is al aan het product toegevoegd"
"Edit Tag '%s'","Tag ‘%s’ bewerken"
"Edit Tag","Tag bewerken"
"Tag can't be empty.","Tag mag niet leeg zijn"
"Save Tag","Tag opslaan"
"Tagged in","Tag toegevoegd in"
"Delete Tag","Tag verwijderen"
"Tag Information","Tag-gegevens"
"Tag Name","Tag-naam"
"Tag Name: %s","Tag-naam: %s"
"Tags:","Tags"
"Tags","Tags"
"Add Tags","Tags toevoegen"
"Tags Aren't Available","Tags zijn niet beschikbaar"
"Telephone","Telefoon"
"Back","Terug"
"Back to view Tag","Terug naar tag bekijken"
"Back to Tags List","Terug naar tags-lijst"
"You have not tagged any products yet.","U hebt nog geen produten een tag gegeven."
"Disabled","Uitgeschakeld"
"Your tag was successfully deleted","Uw tag is met succes verwijderd"
"Your tag was successfully saved","Uw tag is opgeslagen"
"Add Your Tags:","Uw tags toevoegen"
"Delete","Verwijder"
"First Name","Voornaam"
"Pending","Wachtende"
"Are you sure?","Weet u het zeker?"
"Are you sure you want to delete this tag?","Weet u zeker dat u deze tag wilt verwijderen?"
"Are you sure that you want to delete this tag?","Weet u zeker dat u deze tag wilt verwijderen?"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt?"
"XML","XML"
"Add to Wishlist","Zet op verlanglijst"
"Visible In","Zichtbaar in"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Zoekresultaten voor ‘%s’ (<a href=’%s’>RSS</a>)"
"Search Terms","Zoektermen"
