" was not delivered nor scanned"," was not delivered nor scanned"
"1 Day Freight","1 Day Freight"
"2Day","2 Day"
"2 Day Freight","2 Day Freight"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","3 Day Freight"
"3 Day Select","3 Day Select"
"Pounds","500 gram"
"Account ID","Account ID"
"Account number","Account-nummer"
"Delivered","Afgeleverd"
"Pickup method","Afhaalwijze"
"Handling fee","Afhandelingskosten"
"Handling Applied","Afhandelingskosten toegepast"
"Sender","Afzender"
"All Services","Alle diensten"
"Response is in the wrong format","Antwoord is in het verkeerde formaat"
"Package Description","Beschrijving van het pakket"
"Calculate Handling Fee","Bestelkosten berekenen"
"Order","Bestelling"
"Library","Bibliotheek"
"Domestic Shipment Days","Binnenlandse verzenddagen"
"Business Service Center","Business Service Center"
"Canada Standard","Canada Standaard"
"Commercial","Commercieel"
"Configuration","Configuratie"
"Container","Container"
"Third Party","Derde partij"
"DHL","DHL"
"Drop Box","Drop box"
"Dropoff","Dropoff"
"Enable Negotiated Rates","Enable Negotiated Rates"
"There is no available method for selected shipping address.","Er is geen beschikbare methode voor het geselecteerde verzendadres."
"Europe First Priority","Europe First Priority"
"Express","Express"
"Express 10:30 AM","Express 10.30 uur"
"Express Mail","Express post"
"Express Saver","Express voordeeltarief"
"Express Saturday","Express zaterdag"
"Additional Protection Configuration Value","Extra Bescherming Configuratie Waarde"
"Additional Protection Enabled","Extra Bescherming Ingeschakeld"
"Additional Protection Min Subtotal","Extra Bescherming Minus Subtotaal"
"Additional Protection Value","Extra Bescherming Waarde"
"Additional Protection Value Rounding Method","Extra Bescherming Waarde Afrondingsmethode"
"Oversize","Extra groot"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg doos"
"FedEx 25kg Box","FedEx 25kg doos"
"FedEx Box","FedEx doos"
"FedEx Envelope","FedEx enveloppe"
"FedEx Tube","FedEx koker"
"FedEx Pak","FedEx pakket"
"First Overnight","First Overnight"
"First-Class","First-Class"
"Size","Formaat"
"Error #%s : %s (%s)","Fout #%s : %s(%s)"
"Error #%s: %s","Fout #%s: %s"
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
"Please make sure to use only digits here. No dashes are allowed.","Gebruik alleen cijfers a.u.b. Streepjes zijn niet toegestaan."
"User ID","Gebruiker-ID"
"UserId","GebruikersId"
"Flat","Gelijk"
"Flat-Rate Box","Gelijk-tarief doos"
"Flat-Rate Envelope","Gelijk-tarief enveloppe"
"Weight Unit","Gewichtseenheid"
"Free method","Gratis methode"
"Free shipping with minimum order amount","Gratis verzending met minimum bestelwaarde"
"Ground Residential","Grond consument"
"Ground","Grond vervoer"
"Ground Commercial","Grond zakelijk"
"Large","Groot"
"Home Delivery","Huis aflevering"
"Bound Printed Matter","Ingebonden geprint materiaal"
"Enabled","Ingeschakeld"
"Intl Economy Freight","Int. Economy Freight"
"Intl Priority Freight","Int. Priority Freight"
"International Economy","Internationaal Economy"
"International Express","Internationaal Express"
"International First","Internationaal First"
"International Priority","Internationaal Priority"
"International Shipment Days","Internationale verzenddagen"
"Yes","Ja"
"Cannot retrieve shipping rates","Kan de verzendkosten niet ophalen"
"Unable to retrieve tracking","Kan tracking niet ophalen"
"Kilograms","Kilogram"
"Show method if not applicable","Laat verzendwijze zien indien niet van toepassing"
"Empty response","Leeg antwoord"
"Letter","Letter"
"Machinable","Machinaal"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximum pakketgewicht (Vraag uw transportbedrijf naar het maximaal toegestane pakketgewicht a.u.b.)"
"Media Mail","Mediapost"
"Minimum order amount for free shipping","Minimum bestelbedrag voor franco verzending"
