"All Websites","Alle websites"
"Apply Tax To FPT","BTW toepassen op FPT"
"Excluding FPT","Exclusief FPT"
"Excluding FPT, FPT description, final price","Exclusief FPT, FPT omschrijving, totaalprijs"
"Including FPT and FPT description [excl. FPT VAT]","Inclusief FPT en FPT omschrijving [excl. FPT BTW]"
"Including FPT and FPT description [incl. FPT VAT]","Inclusief FPT en FPT omschrijving [incl. FPT BTW]"
"Include FPT In Subtotal","Inclusief FPT in subtotaal"
"Including FPT only","Inclusief FPT only"
"Apply Percent Discounts To FPT","Percentage kortingen toepassen op FPT"
"Display Prices In Product Lists","Prijzen tonen in productoverzicht"
"Display Prices In Sales Modules","Prijzen Tonen in verkoop modules"
"Display Prices On Product View Page","Prijzen tonen op product pagina"
"Enable FPT","Schakel FPT in"
"Display Prices In Emails","Toon prijzen in Email"
"Total","Totaal"
"Total incl. tax","Totaal inclusief BTW"
"Fixed Product Tax","Vast product BTW tarief"
"Fixed Product Taxes","Vast product BTW tarieven"
