"Transsmart Shipping","Transsmart verzending"
"Transsmart Shipping extension version %s","Transsmart verzending extensie versie %s"
"Transsmart Shipping Settings","Transsmart verzending instellingen"
"Transsmart API","Transsmart API"
"User Manual","Gebruikershandleiding"
"Configuration Manual","Configuratie handleiding"
"Transsmart Support","Transsmart support"
"Connection Details","Verbinding details"
"Username","Gebruikersnaam"
"Password","Wachtwoord"
"Environment","Omgeving"
"Staging","Staging"
"Production","Productie"
"Fetch Base Data","Basisgegevens ophalen"
"Base data not fetched yet.","Basisgegevens nog niet opgehaald."
"Base data last fetched on %s.","Basisgegevens laatst opgehaald op %s."
"Fetch Now","Nu ophalen"
"Printing","Afdrukken"
"QZ Host","QZ Host"
"Selected Printer","Geselecteerde printer"
"Default Shipment Properties","Standaard eigenschappen zending"
"These properties are applied to a new shipment by default, and can be configured per storeview.","Deze eigenschappen worden standaard toegekend aan een nieuwe zending, en kunnen per winkelzicht worden ingesteld."
"Transsmart default value: %s","Transsmart standaardwaarde: %s"
"Use Config Settings","Gebruik configuratieinstellingen"
"(empty)","(leeg)"
"Mapping","Toewijzing"
"If the shop uses multiple street fields, please specify which field should be used for what.","Als de winkel gebruik maakt van meerdere straat velden, stelt u hier in welk veld waarvoor gebruikt dient te worden."
"Street","Straat"
"House Number","Huisnummer"
"Street 2","Straat 2"
"Street %s","Straat %s"
"Combined Street Fields","Samengevoegde straat velden"
"Carrier Profile","Vervoerdersprofiel"
"Shipment Location","Verzendlocatie"
"Email Type","E-mailtype"
"Cost Center","Kostenplaats"
"Package Type","Verpakkingstype"
"Incoterm","Incoterm"
"Length (cm)","Lengte (cm)"
"Width (cm)","Breedte (cm)"
"Height (cm)","Hoogte (cm)"
"Weight (Kg)","Gewicht (Kg)"
"Transsmart Carrier Profiles","Transsmart vervoerdersprofielen"
"Servicelevel Time","Servicelevel tijd"
"Servicelevel Other","Servicelevel overig"
"Show in Checkout","Toon op afrekenpagina"
"No","Nee"
"As Delivery Option","Als bezorgoptie"
"As Pickup Option","Als afhaaloptie"
"Title","Titel"
"Use Location Selector","Gebruik locatiekiezer"
"Delivery","Bezorging"
"Pickup","Afhalen"
"Location selector not available for this carrier profile.","Locatiekiezer is niet beschikbaar voor deze vervoerdersprofiel."
"Location selector not available for this shipping method.","Locatiekiezer is niet beschikbaar voor deze verzendmethode."
"Zipcode, city and country are required.","Postcode, plaats en land zijn vereist."
"Opening hours:","Openingstijden:"
"Select pickup location","Afhaallocatie kiezen"
"Save","Opslaan"
"Search","Zoeken"
"Found pickup locations:","Gevonden afhaallocaties:"
"Pickup Address","Afhaallocatie"
"A pickup location has to be selected","Geen afhaallocatie gekozen"
"Zipcode, City, Street, Housenumber","Postcode, Plaats, Straat, Huisnummer"
"Transsmart Document Id","Transsmart Document Id"
"Transsmart Status","Transsmart Status"
"N/A","N.v.t."
"Pending","Wachtende"
"Partially Exported","Gedeeltelijk geëxporteerd"
"Exported","Geëxporteerd"
"Error","Fout"
"Unknown error","Onbekende fout"
"Transsmart: Create Shipment(s)","Transsmart: Zending(en) aanmaken"
"Transsmart: Book & Print","Transsmart: Boeken & Printen"
"Transsmart: Book Shipment(s)","Transsmart: Zending(en) boeken"
"Transsmart: Print Label(s)","Transsmart: Label(s) printen"
"Transsmart document ID is not known.","Transsmart document ID is niet bekend."
"Shipment #%s for order #%s could not be booked and printed: %s","Zending #%s voor bestelling #%s kon niet geboekt en geprint worden: %s"
"One or more shipments could not be booked and printed: %s","Eén of meer zendingen konden niet geboekt en geprint worden: %s"
"Successfully booked and printed %s Transsmart shipments.","Succesvol %s Transsmart zendingen geboekt en geprint."
"Shipment #%s for order #%s could not be booked: %s","Zending #%s voor bestelling #%s kon niet geboekt worden: %s"
"Successfully booked %s Transsmart shipments.","Succesvol %s Transsmart zendingen geboekt."
"Shipment #%s for order #%s could not be printed: %s","Zending #%s voor bestelling #%s kon niet geprint worden: %s"
