sku,barcode
101-L,8718295089465
101-M,8718295089458
101-S,8718295089441
101-XS,8718295089434
102-L,8718295089502
102-M,8718295089496
102-S,8718295089489
102-XS,8718295089472
103-L,8718295089540
103-M,8718295089533
103-S,8718295089526
103-XS,8718295089519
104-L,8718295089588
104-M,8718295089571
104-S,8718295089564
104-XS,8718295089557
105-L,8718295089304
105-M,8718295089298
105-S,8718295089281
105-XS,8718295089274
106-L,8718295089342
106-M,8718295089335
106-S,8718295089328
106-XS,8718295089311
107-L,8718295089380
107-M,8718295089373
107-S,8718295089366
107-XS,8718295089359
108-L,8718295089427
108-M,8718295089410
108-S,8718295089403
108-XS,8718295089397
109-L,8718295089144
109-M,8718295089137
109-S,8718295089120
109-XS,8718295089113
111-L,8718295089458
111-M,8718295089441
111-S,8718295089434
111-XL,8718295089465
112-L,8718295089496
112-M,8718295089489
112-S,8718295089472
112-XL,8718295089502
113-L,8718295089533
113-M,8718295089526
113-S,8718295089519
113-Xl,8718295089540
114-L,8718295089571
114-M,8718295089564
114-S,8718295089557
114-XL,8718295089588
115-L,8718295089298
115-M,8718295089281
115-S,8718295089274
115-Xl,8718295089304
116-L,8718295089335
116-M,8718295089328
116-S,8718295089311
116-XL,8718295089342
117-L,8718295089373
117-M,8718295089366
117-S,8718295089359
117-XL,8718295089380
118-L,8718295089410
118-M,8718295089403
118-S,8718295089397
118-XL,8718295089427
119-L,8718295089137
119-M,8718295089120
119-S,8718295089113
119-XL,8718295089144
121-GreyMelange-L,8718295089458
121-GreyMelange-M,8718295089441
121-GreyMelange-S,8718295089434
121-GreyMelange-XL,8718295089465
121-NightMelange-L,8718295089496
121-NightMelange-M,8718295089489
121-NightMelange-S,8718295089472
121-NightMelange-XL,8718295089502
122-GreyMelange-L,8718295089571
122-GreyMelange-M,8718295089564
122-GreyMelange-S,8718295089557
122-GreyMelange-XL,8718295089588
122-White-L,8718295089533
122-White-M,8718295089526
122-White-S,8718295089519
122-White-XL,8718295089540
123-NightMelange-L,8718295089335
123-NightMelange-M,8718295089328
123-NightMelange-S,8718295089311
123-NightMelange-XL,8718295089342
