"* Required Fields","* Verplichte velden"
"Enable Contact Us","‘Mail ons’ inschakelen"
"Contacts","Contacten"
"Contact Form","Contactformulier"
"Contact Information","Contactgegevens"
"Email","E-mail"
"Email Sender","E-mail afzender"
"Email Template","E-mail template"
"Send Emails To","E-mails versturen aan"
"Email Options","Email opties"
"Unable to submit your request. Please, try again later","Kan uw verzoek niet opsturen. Probeer het later opnieuw"
"Contact Us","Mail ons"
"Name","Naam"
"Comment","Notitie"
"Contacts Section","Sectie Contacten"
"Telephone","Telefoon"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Uw vraag is verzonden en zal spoedig worden beantwoord. Bedankt voor uw bericht."
"Submit","Verstuur"
