"Action","Actie"
"Always","Altijd"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Bestand ""%s"" kan niet worden opgeslagen. Zorg ervoor dat de webserver schrijfrechten heeft op de map ""%s""."
"Filename","Bestandsnaam"
"Please make sure that ""%s"" is writable by web-server.","Controleer a.u.b. of de webserver schrijfrechten heeft op ""%s"""
"Daily","Dagelijks"
"Please define correct path","Definieer correct pad"
"This sitemap no longer exists","Deze sitemap bestaat niet meer"
"Hourly","Elk uur"
"Error Email Sender","Fout e-mail afzender"
"Error Email Recipient","Fout e-mail ontvanger"
"Error Email Template","Fout e-mail template"
"Frequency","Frequentie"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Gebruik alleen letters (a-z en A-Z), cijfers (0-9) of underscores (_) in de bestandsnaam. Spaties en andere tekens zijn niet toegestaan."
"Priority must be between 0 and 1","Geef prioriteit op tussen 0 en 1"
"Valid values range from 0.0 to 1.0","Geldige waarden liggen tussen 0.0 en 1.0"
"Generate","Genereren"
"Google Sitemap","Google sitemap"
"ID","ID"
"Enabled","Ingeschakeld"
"Generation Settings","Instellingen voor genereren"
"Yearly","Jaarlijks"
"Unable to generate a sitemap","Kan geen sitemap genereren"
"Unable to find a sitemap to generate","Kan geen sitemap vinden om te genereren."
"Unable to find a sitemap to delete","Kan geen sitemap vinden om te verwijderen"
"Last Time Generated","Laatste keer gegenereerd"
"Link for Google","Link voor Google"
"Please create the specified folder ""%s"" before saving the sitemap.","Maak a.u.b. eerst de map ""%s"" aan voordat u de sitemap opslaat."
"Monthly","Maandelijks"
"New Sitemap","Nieuwe sitemap"
"Never","Nooit"
"Categories Options","Opties categorie&euml;n"
"CMS Pages Options","Opties CMS-pagina’s"
"Products Options","Opties producten"
"Path","Pad:"
"Priority","Prioriteit"
"Google Sitemap Section","Sectie Google Sitemap"
"Sitemap","Sitemap"
"Sitemap ""%s"" has been successfully generated","Sitemap ""%s"" is gegenereerd."
"Edit Sitemap","Sitemap bewerken"
"Sitemap generate Warnings","Sitemap genereert waarschuwingen"
"Sitemap was successfully saved","Sitemap is opgeslagen"
"Sitemap was successfully deleted","Sitemap is verwijderd"
"Add Sitemap","Sitemap toevoegen"
"Start Time","Starttijd"
"Weekly","Wekelijks"
"Store View","Winkelzicht"
