source;translation;type;module;status;customer
lang_code;ro;M;;T;N
lang_name;Romanian;M;;T;N
lang_english_name;Romanian;M;;T;N
lang_author;"Quality Unit";M;;T;N
lang_version;4.5.71.1;M;;T;N
lang_date_format;MM/d/yyyy;M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;" ";M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;84;M;;T;N
"Error during copy of sample banner image %s.";"Eroare in timpul copierii esantionului imaginii %s a bannerului.";S;;T;N
"License";"Licenta";S;;T;N
"You have to agree license.";"Trebuie sa fii de acord cu licenta.";B;;T;N
"Installation Completed";"Instalare completa";B;;T;N
"Safe Mode";"Safe Mode";S;;N;N
"Display Errors";"Afiseaza Erori";S;;T;N
"File Uploads";"incarcarea fisierelor";S;;T;N
"Register Globals";"Inregistrare Globala";S;;T;N
"Session Auto Start";"Sesiune Auto Start ";S;;T;N
"On";"On";B;;N;N
"Off";"Off";B;;N;N
"Configuration directory is writable";"Directorul de Configurare este editabil";S;;T;N
"Configuration directory has to be writable";"Directorul de configurare trebuie sa fie scris";S;;T;N
"Please make directory %s and all subdirectories writable by webserver.";"Va rugam sa scrieti directorul %s si toate subdirectoarele pe server.";S;;T;N
"On unix-like systems you can type ""chmod -R 777 %s"".";"Pe sistemele Unix se poate scrie ""chmod -R 777 %s "".";S;;T;N
"On any system you can set write permissions using your favourite FTP client.";"Pe orice sistem ce le puteti seta permisiuni de scriere, folosindu-va favorit clientul FTP.";S;;T;N
"PHP include path";"PHP include traiectoria";S;;T;N
"Could not set PHP include path";"Nu puteti stabili PHP incluzand traiectoria";S;;T;N
"Please configure your PHP so that script is able to change include_path.";"Va rugam sa configurati PHP-ul, astfel incat script-ul dvs. Sa fie capabil sa se schimbe include_path.";S;;T;N
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Alternativ puteti seta direct in php.ini ""include_path"" . include_path =% s";S;;T;N
"MySQL extension is installed";"Extensia MySQL este instalata";S;;T;N
"MySQL extension is not installed";"Extensia MySQL nu este instalata";S;;T;N
