"profiles","profiles"
"XML Url","XML Url"
"Export for search engine","Export for search engine"
"Store View Name","Store View Name"
"Creation Time","Creation Time"
"Action","Action"
"Active","Active"
"Generate NOW","Generate NOW"
"Export for search engines","Export for search engines"
"Profile Wizard","Profile Wizard"
"Export has been successfully generated","Export has been successfully generated"
"New Profile (Step 1)","New Profile (Step 1)"
"Back","Back"
"Reset","Reset"
"Select store","Select store"
"Store","Store"
"Continue","Continue"
"Edit Profile","Edit Profile"
"Profile Information","Profile Information"
"Name","Name"
"Enabled","Enabled"
"Start time","Start time"
"Hour","Hour"
"Minute","Minute"
"Second","Second"
"Frequency","Frequency"
"XML File","XML File"
"Filename","Filename"
"It must be finished with .xml","It must be finished with .xml"
"Export information","Export information"
"Search engine","Search engine"
"Centrum category","Centrum category"
"Categories to export","Categories to export"
"Export has been generated on ","Export has been generated on "
"%. Please rerun generation process!","%. Please rerun generation process!"
"Unable to generate an export","Unable to generate an export"
"Unable to find an export to generate","Unable to find an export to generate"
"XML file doesnt exist","XML file doesnt exist"
"Default (Admin) Values","Default (Admin) Values"
"Step","Step"
"Type","Type"
PHP Extension "%s" must be loaded,"PHP Extension ""%s"" must be loaded"
"https://docs.nostresscommerce.cz/en/wiki/export_en","https://docs.nostresscommerce.cz/en/wiki/export_en"
"Export Profiles","Export Profiles"
"Export Profile Settings","Export Profile Settings"
"Use store name in URL path","Use store name in URL path"
"Use categories path for product URLs","Use categories path for product URLs"
"General","General"
