"You will be redirected to the Buckaroo website when you place an order.","You will be redirected to the Buckaroo website when you place an order."
"You will be redirected to the Buckaroo in a few seconds.","You will be redirected to the Buckaroo in a few seconds."
"The payment has been canceled", "The payment has been canceled"
"Order will be created using the current payment method.", "Order will be created using the current payment method."
"Dear Guest, please check each field from the checkout information.<br/>You will not be able to change it after submitting.", "Dear Guest, please check each field from the checkout information.<br/>You will not be able to change it after submitting."
"Your order is approved, you will be redirected to the store...", "Your order is approved, you will be redirected to the store..."
"Name","Name"
"unknown2","unknown"
"Mr.","Mr."
"Mrs.","Mrs."
"E-mail","E-mail"
"Bank account","Bank account"
"Date of Birth","Date of Birth"
"Day","Day"
"Month","Month"
"Year","Year"
"DD","DD"
"MM","MM"
"YYYY","YYYY"
