"You will be redirected to the Buckaroo website when you place an order.","You will be redirected to the Buckaroo website when you place an order."
"You will be redirected to the Buckaroo in a few seconds.","You will be redirected to the Buckaroo in a few seconds."
"The payment has been canceled", "The payment has been canceled"
"Order will be created using the current payment method.", "Order will be created using the current payment method."
"Please, choose your bank:", "Please, choose your bank:"
"ABN AMRO","ABN AMRO"
"ASN Bank","ASN Bank"
"Fortis","Fortis"
"Friesland Bank","Friesland Bank"
"ING","ING"
"Rabobank","Rabobank"
"SNS Bank","SNS Bank"
"SNS Regio Bank","SNS Regio Bank"
"Triodos Bank","Triodos Bank"
"Van Lanschot", "Van Lanschot"
