"Display %s first","%s eerst weergeven"
"Delete %s","%s verwijderen"
"Delete %s '%s'","%s, %s verwijderen"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absoluut of relatief pad naar Magento installatie-root, bijv. var/export)"
"(If left empty will be auto-generated)","(Als u deze leeg laat, wordt er een gegenereerd)"
"(Starting with)","(Beginnend met)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Bij &34;Nee &34; worden alleen ingedeelde velden ge&iuml;mporteerd. Gebruik voor indelen &34;kolom1 &34;,  &34;kolom &34;, etc.)"
"(Leave empty for first spreadsheet)","(Laat leeg voor eerste spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Producten worden toegevoegd/ge&uuml;pdate naar deze winkel als de kolom Winkel ontbreekt of  leeg is in het importbestand.)"
"(You have to increase php memory_limit before changing this value)","(U moet de php memory_limit verhogen voordat u deze waarde verandert.)"
"(For US 2-letter state names)","(Voor 2-letter-codes van staten in VS)"
"(\t for tab)","(t voor tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* Als er een indexering gaande is, wordt deze gestopt en start een nieuwe indexering."
"- Click on any of the time parts to increase it","- Klik op een deel van de tijdnotatie om het te verhogen"
"-- Please select --","-- Selecteer a.u.b. --"
"-- Please Select --","-- Selecteer a.u.b. --"
"- Use the %s buttons to select month","-- Selecteer de maand met de %s knoppen"
"-- Please select a category --","-- Selecteer een categorie a.u.b. --"
"- Use the %s, %s buttons to select year","-- Selecteer het jaar met de %s, %s knoppen"
"--Please Select--","--Selecteer a.u.b.--"
"1 Hour","1 uur"
"12 Hours","12 uur"
"12h AM/PM","12uur Ochtend/Avond"
"2 Hours","2 uur"
"24 Hours","24 uur"
"24h","24uur"
"6 Hours","6 uur"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Pagina niet gevonden.</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Toegang geweigerd</h1><p>Toegang geweigerd.</p>"
"Processed <strong>%s%% %s/%d</strong> records","<strong>%s%% %s/%d</strong> records verwerkt."
"Created <strong>%s</strong> items","<strong>%s</strong> items aangemaakt"
"Imported <strong>%s</strong> records","<strong>%s</strong> records ge&iuml;mporteerd"
"To","Aan"
"Recommended","Aanbevolen"
"Created At","Aangemaakt op"
"Create","Aanmaken"
"Quantity","Aantal"
"Qty","Aantal"
"Number of Orders","Aantal bestellingen"
"Number of Uses","Aantal keer gebruikt"
"Number of Use","Aantal keer gebruikt"
"Number of records:","Aantal records:"
"Account Created in:","Account gemaakt in:"
"Account Created on (%s):","Account gemaakt op (%s):"
"Account Created on:","Account gemaakt op:"
"Account successfully saved","Account met succes opgeslagen"
"Save Account","Account opslaan"
"Account Information","Account-gegevens"
"Account status","Account-status"
"Lastname","Achternaam"
"Last Name","Achternaam"
"Action","Actie"
"Active","Actief"
"Actions","Acties"
"Actions XML","Acties XML"
"Address Type:","Adrestype:"
"Images","Afbeeldingen"
"Images (.gif, .jpg, .png)","Afbeeldingen (.gif, .jpg, .png)"
"2YTD","Afgelopen 2 jaar."
"Dependencies","Afhankelijkheden"
"Shipping address","Afleveradres"
"Shipping Address","Afleveradres"
"Sender","Afzender"
