"# of Use","# van gebruik"
"%1$s incl tax.","%1$s incl.BTW"
"%s - %s","%s - %s"
"%s Item(s)","%s artikel(en)"
"(Copy data from: %s)","(Data kopi&euml;ren van: %s)"
"(Will make search for the query above return results for this search.)","(Zal zoeken voor de zoekopdracht hierboven, geef resultaten terug voor deze zoekopdracht.)"
"* Required Fields","* Verplichte velden"
"-- Please Select --","-- Selecteer a.u.b. --"
"Set special price","Aanbiedingprijs instellen"
"Create","Aanmaken"
"Create (Upload)","Aanmaken (Upload)"
"Create Empty","Aanmaken lege"
"Qty","Aantal"
"Number of Uses","Aantal keer gebruikt"
"Number of results<br/>(For last time placed)","Aantal resultaten<br />(voor de laatste keer geplaatst)"
"Check items to add to the cart or","Aanvinken bij dit product te bestellen of"
"Subscribe to Feed","Abonneren op Feed"
"Subscribe to RSS Feed","Abonneren op RSS-feed"
"Last Name","Achternaam"
"Product URL Suffix","Achtervoegsel product-URL"
"Action","Actie"
"Currently Shopping by","Actieve verfijning"
"Image","Afbeelding"
"Image not exists","Afbeelding bestaat niet"
"Image not specified.","Afbeelding niet gespecificeerd."
"Image file not found","Afbeelding-bestand niet gevonden"
"Image type and information need to be specified for each store view.","Afbeeldings-type en -gegevens moeten voor elk winkelzicht apart worden opgegeven."
"Image content is not valid base64 data.","Afbeeldingsinhoud bevat geen geldige base64 gegevens"
"General Information","Algemene Informatie"
"All","Alle"
"ALL GROUPS","ALLE GROEPEN"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Alle producten van deze set worden verwijderd! Weet u zeker dat u deze attributenset wil verwijderen?"
"All Product Types","Alle productsoorten"
"Products only","Alleen producten"
"Static block only","Alleen statisch blok"
"Collapse All","Alles inklappen"
"select all","Alles selecteren"
"Expand All","Alles uitklappen"
"Clear All","Alles wissen"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"AM","AM"
"Amount","Amount"
"Category attributes API","API categorie-attributen"
"Items %s to %s of %s total","Artikelen %s tot %s van %s in totaal"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artikelen die u niet wilt tonen in de catalogus of zoekresultaten, geeft u de status 'Uitgeschakeld' in de betreffende winkel"
"Add Items to Cart","Artikelen toevoegen aan shoppingbag"
"Compare Items","Artikelen vergelijken"
"SKU","Artikelnummer"
"Missing SKU, skipping the record","Artikelnummer ontbreekt, record wordt overgeslagen"
"Declare attribute value saving scope","Attribuaatwaarde opgeven voor opslaan van scope"
"Attributes","Attributen"
"Retrieve product link type attributes","Attributen product-linktype ophalen"
"Update Attributes","Attributen updaten"
"Attribute group with the ""/name/"" name already exists","Attributengroep met de naam name/""bestaat al"
"Retrieve attribute list","Attributenlijst ophalen"
"Attribute Set","Attributenset"
"Attrib. Set Name","Attributenset"
"Edit Attribute Set '%s'","Attributenset '%s' wijzigen"
"Save Attribute Set","Attributenset opslaan"
"Delete Attribute Set","Attributenset verwijderen"
"Attribute with the same code already exists","Attribuut met dezelfde code bestaat al"
"Save Attribute","Attribuut opslaan"
"Add Attribute","Attribuut toevoegen"
"Delete Attribute","Attribuut verwijderen"
"Cart Item Attribute","Attribuut shoppingbag-artikel"
"Change or Retrieve attribute store view","Attribuut winkelzicht wijzigen of ophalen"
"Attribute Properties","Attribuut-eigenschappen"
"Attribute Code","Attribuutcode"
"Attribute Information","Attribuutgegevens"
"Retrieve attribute data","Attribuutgegevens ophalen"
"Attribute Model","Attribuutmodel"
"Attribute model not defined","Attribuutmodel is niet gedefinieerd"
"Attribute Name:","Attribuutnaam:"
"Attrribute names can be specified per store.","Attribuutnamen kunnen per winkel opgegeven worden."
"Attribute Label","Attribuutomschrijving"
"Retrieve attribute options","Attribuutopties ophalen"
"Update attributes","Atttributen updaten"
"Autogenerate","Automatisch genereren"
"Backend Model","Backend-model"
"Backend Table","Backend-tabel"
"Backorders","Backorders"
"Base directory to upload image file is not specified","Basis-map om afbeelding te uploaden is niet opgegeven"
"Set root category for this store in the <a href=""%s"">configuration</a>","Basiscategorie instellen voor deze winkel in de <a href=""%s"">configuratie</a>"
"Set Root Category For Store","Basiscategorie voor winkel instellen"
"Starting at:","Beginnend op:"
"Manage Attributes","Beheer attributen"
"Manage Attribute Sets","Beheer attributensets"
"Manage Catalog Categories","Beheer catalogus-categorie&euml;n"
"Manage Categories","Beheer categorie&euml;n"
"Manage Label / Options","Beheer label / opties"
"Options Control","Beheer opties"
"Manage Options (values of your attribute)","Beheer opties (waarden van uw attribuut)"
"Manage Product Attributes","Beheer productattributen"
"Manage Products","Beheer producten"
"Manage Product Sets","Beheer productensets"
"Manage Titles (Size, Color, etc.)","Beheer titels (grootte, kleur, etc)"
"Url Rewrite Management","Beheer URL-rewrites"
"Availability","Beschikbaarheid"
"Stock Availability","Beschikbaarheid voorraad:"
"Availability: In stock.","Beschikbaarheid:  In voorraad"
"Availability: Out of stock.","Beschikbaarheid:  Niet in voorraad."
"save","bespaar"
"Best Value","Beste waarde"
"Buy %1$s for %2$s","Bestel %1 voor %2$s"
"ex. http://domain.com","bijv. http://domein.nl"
"Browse By","Blader door"
"Block after Info Column","Blok na info-kolom"
"Retrieve categories tree","Boom categorieën ophalen"
"Top/Left","Bovenaan/links"
"Top/Right","Bovenaan/rechts"
"Source Model","Bron model"
"Tax","BTW"
"Add Tax","BTW toevoegen"
"cache refresh needed","Cache moet ververst worden"
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Catalog","Catalogus"
"Catalog Input Type for Store Owner","Catalogus invoertype voor winkeleigenaar"
"Catalog, Search","Catalogus, zoeken"
"Category","Categorie"
"Category API","Categorie API"
"Category must be instance of Mage_Catalog_Model_Category","Categorie moet een instance zijn van Mage_Catalog_Model_Category"
"Category Navigation:","Categorie navigatie:"
"Category saved","Categorie opgeslagen"
"Save Category","Categorie opslaan"
"Category Products","Categorie producten"
"Category Top Navigation","Categorie topnavigatie"
"Update category","Categorie updaten"
"Category URL Suffix","Categorie URL toevoeging"
"Move category in tree","Categorie verplaatsen in menu"
"Category move error","Categorie verplaatsfout"
"Category deleted","Categorie verwijderd"
"Delete category","Categorie verwijderen"
"Delete Category","Categorie verwijderen"
"Category delete error","Categorie verwijderfout"
"Categories","Categorie&euml;n"
"categories","Categorie&euml;n"
"Retrieve category attributes","Categorie-attributen ophalen"
"Use categories path for product URLs","Categorieënpad voor product-URL’s gebruiken"
"Category Data","Categoriegegevens"
"Retrieve category data","Categoriegegevens ophalen"
"Super product attributes configuration","Configuratie super-productattributen"
"Use Config Settings","Configuratie-instellingen gebruiken"
"Configurable Product","Configureerbaar product"
"Cross-sells","Cross-selling"
"Data Type for Saving in Database","Datatype voor opslaan in database"
"Date & Time Custom Options","Date & Time Custom Options"
"Date fields order","Date fields order"
"Datetime","Datetime"
"Date","Datum"
