"(eg: domain.com/identifier)","(bijv: domein.nl/identifier)"
"Action","Actie"
"General Information","Algemene Informatie"
"All countries","Alle landen"
"Manage Pages","Beheer pagina's"
"Poll Manager","Beheer poll"
"Description","Beschrijving"
"Edit Block '%s'","Blok '%s' bewerken"
"Edit Block","Blok bewerken"
"Block Information","Blok informatie"
"Block was successfully saved","Blok is met succes opgeslagen"
"Block was successfully deleted","Blok is met succes verwijderd"
"Save Block","Blok opslaan"
"Delete Block","Blok verwijderen"
"Block Title","Bloktitel"
"Product Tax Class Information","BTW-tariefgegevens van product"
"CMS","CMS"
"CMS Home Page","CMS homepage"
"CMS No Route Page","CMS-pagina Niet Gevonden"
"Date Created","Datum aangemaakt"
"The page you are trying to save no longer exists","De pagina die u probeert op te slaan bestaat niet meer"
"This page no longer exists","Deze pagina bestaat niet meer"
"This block no longer exists","Dit blok bestaat niet meer"
"Custom Design","Eigen ontwerp"
"Custom Theme","Eigen Thema"
"Custom Theme To","Eigen thema tot"
"Custom Theme From","Eigen thema van"
"Go to Home Page","Ga naar Home"
"Unable to find a block to delete","Geen blok gevonden om te verwijderen"
"Customer Tax Class Information","Gegevens BTW-tariefgroep klant"
"Home","Home"
"Identifier","Identifier"
"Enabled","Ingeschakeld"
"Content","Inhoud"
"Unable to find a page to delete","Kan geen pagina vinden om te verwijderen"
"Keywords","Keywords"
"Show breadcrumbs for CMS pages","Kruimelpad tonen voor CMS-pagina's"
"Last Modified","Laatst gewijzigd"
"Layout","Layout"
"Layout Update XML","Layout update XML"
"Meta Data","Meta-gegevens"
"Meta Keywords","Meta-keywords"
"Meta Description","Meta-omschrijving"
"New Block","Nieuw blok"
"Add New Block","Nieuw blok toevoegen"
"New Page","Nieuwe pagina"
"Add New Page","Nieuwe pagina toevoegen"
"Edit Page '%s'","Pagina '%s' bewerken"
"Edit Page","Pagina Bewerken"
"Page was successfully saved","Pagina is met succes opgeslagen"
"Page was successfully deleted","Pagina is met succes verwijderd"
"Save Page","Pagina opslaan"
"Page Status","Pagina status"
"Delete Page","Pagina verwijderen"
"Page Identifier cannot consist only of numbers.","Pagina-identifier mag niet alleen uit getallen bestaan."
"Page Identifier for specified store already exist.","Pagina-identifier voor opgegeven winkel bestaat al."
"Page Information","Paginagegevens"
"Page Title","Paginatitel"
"SEF URL Identifier","SEF URL-identifier"
"Static Blocks","Statische blokken"
"Status","Status"
"Title","Titel"
"Disabled","Uitgeschakeld"
"Store View","Winkelzicht"
"Such a block identifier in selected store already exist.","Zo'n blok identifier bestaat al in de geselecteerde winkel."
