"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Geplande taken) - Alle tijden zijn in minuten"
"Daily","Dagelijks"
"Failure history lifetime","Failure history lifetime"
"No callbacks found","Geen callbacks gevonden"
"Missed if not run within","Gemist als niet uitgevoerd binnen"
"History cleanup every","Geschiedenis opruimen elke"
"Unable to save Cron expression","Kan Cron-expressie niet opslaan"
"Generate schedules every","Maak planningen elke"
"Monthly","Maandelijks"
"Unknown error","Onbekende fout"
"Invalid callback: %s::%s does not exist","Ongeldige callback: %s::%s bestaat niet"
"Invalid model/method definition, expecting ""model/class::method"".","Ongeldige model/method-definitie. Verwacht ""model/class::method""."
"Schedule ahead for","Planning vooruit maken voor"
"Success history lifetime","Success history lifetime"
"Too late for the schedule","Te laat voor de planning"
"Weekly","Wekelijks"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Zorg dat Web > (on)veilige basis-URLs goed zijn ingesteld om correcte URLs te genereren tijdens cron runs."
