"Leave empty for default (2). Valid range: 1-4",""
"Customer collection expected","'Customer collection' verwacht"
"Entity collection is expected","'Entity collection' wordt verwacht"
"* Required Fields","* Verplichte velden"
"Purchase On","Aankoop op"
"Create","Aanmaken"
"Qty","Aantal"
"Session Start Time","Aanvangstijd sessie"
"Subscribe to newsletter","Blijf op de hoogte van onze acties!"
"Sign up for our newsletter","Blijf op de hoogte van onze acties!"
"Sign Up for Newsletter","Blijf op de hoogte van onze acties!"
"Create an Account","Account aanmaken"
"Account Dashboard","Account-dashboard"
"Account Information","Account-gegevens"
"Account information was successfully saved","Account-gegevens zijn met succes opgeslagen"
"Change Account Password","Account-wachtwoord wijzigen"
"Edit Account Information","Accountgegevens bewerken"
"Edit Account Info","Accountgegevens bewerken"
"Last Name","Achternaam"
"Last name can't be empty","Achternaam moet ingevuld zijn"
"Missing lastname, skipping the record","Achternaam ontbreekt, record wordt overgeslagen"
"Suffix","Achtervoegsel"
"Show suffix","Achtervoegsel tonen"
"Action","Actie"
"Address","Adres"
"Street Address","Adres 2"
"Edit Address Entry","Adres bewerken"
"Edit Address","Adres bewerken"
"Address Information","Adres Informatie"
"Save Address","Adres opslaan"
"Delete Address","Adres verwijderen"
"Address Book","Adresboek"
"Retrieve address info","Adresgegevens ophalen"
"Retrieve address data","Adresgegevens ophalen"
"Update customer address data","Adresgegevens van klant updaten"
"Addresses","Adressen"
"Forgot Email Sender","Afzender e-mail vergeten"
"General Subscription","Algemeen abonnement"
"All","Alle"
"All countries","Alle landen"
"All Store Views","Alle winkel-zichten"
"Visitors Only","Alleen bezoekers"
"Customers Only","Alleen klanten"
"Use as My Primary %s Address","Als mijn primaire %s-adres gebruiken"
"Use as my default shipping address","Als mijn standaard-afleveradres"
"Use as my default billing address","Als mijn standaard-factuuradres gebruiken"
"Set as Default Shipping Address","Als standaard-afleveradres instellen"
"Set as Default Billing Address","Als standaard-factuuradres instellen"
"If you have an account with us, please log in.","Als u een account bij ons hebt, log dan in a.u.b."
"Always optional","Altijd Optioneel"
"Cancel","Annuleren"
"Array of Entity collections is expected","Array van 'Entity collections' wordt verwacht"
"Items Order","Artikelen in bestelling"
"SKU","Artikelnummer"
"Send auto-generated password","Automatisch gegenereerd wachtwoord versturen"
"Thank you for registering with %s","Bedankt voor het openen van een account bij %s"
"Amount","Bedrag"
"Company","Bedrijf"
"Manage Addresses","Beheer adressen"
"Manage Customers","Beheer klanten"
"Password Management","Beheer wachtwoorden"
"Admin","Beheerder"
"View","Bekijken"
"User description","Beschrijving gebruikers"
"View Order List","Bestellijst bekijken"
"Order List...","Bestellijst..."
"Order #%s (%s)","Bestelling #%s (%s)"
"Create Order","Bestelling aanmaken"
"View Order","Bestelling bekijken"
"Orders","Bestellingen"
"Order #","Bestelnummer"
"Billing Information","Betaalgegevens"
"Payment Method","Betaalwijze"
"Confirm New Password","Bevestig nieuw wachtwoord"
"Confirmed","Bevestigd"
"Failed to confirm customer account.","Bevestigen van klantaccount mislukt"
"New account confirmation key","Bevestigingscode nieuw account"
