"* Required Fields","* Verplichte velden"
"To","Aan"
"Cancel","Annuleren"
"Item %d of %d","Artikel %d van %d"
"Message","Bericht"
"Add Gift Message","Bericht aan cadeau toevoegen"
"Gift Message","Bericht bij cadeau"
"Gift Messages","Cadeau-berichten"
"Edit Gift Message","Cadeaubericht bewerken"
"Gift message has been successfully saved","Cadeaubericht is opgeslagen"
"Save Gift Message","Cadeaubericht opslaan"
"Allow Gift Messages for Order Items","Cadeauberichten toestaan bij bestelde artikelen"
"Allow Gift Messages on Order Level","Cadeauberichten toestaan bij hele bestelling"
"Error while saving gift message","Fout tijdens opslaan van dit cadeaubericht"
"Use config","Gebruik config"
"Yes","Ja"
"No","Nee"
"Unknown entity type","Onbekend entiteittype"
"Save","Opslaan"
"Close","Sluiten"
"Add","Toevoegen"
"You can leave a box blank if you don't wish to add a gift message for whole order.","U kunt het veld leeg laten als u geen cadeaubericht wilt toevoegen aan de hele bestelling"
"You can leave a box blank if you don't wish to add a gift message for the item.","U kunt het veld leeg laten als u geen cadeaubericht wilt toevoegen aan het artikel."
"You can leave a box blank if you don't wish to add a gift message for this address.","U kunt het veld leeg laten als u geen cadeaubericht wilt toevoegen voor dit adres."
"Your gift message has been successfully saved","Uw cadeaubericht is opgeslagen"
"Your gift message successfully saved","Uw cadeaubericht is opgeslagen"
"Your gift message has been successfully removed","Uw cadeaubericht is verwijderd"
"Your gift message successfully removed","Uw cadeaubericht is verwijderd"
"From","Van"
"Remove","Verwijderen"
"Check this checkbox if you want to add gift messages.","Vink deze checkbox aan als u cadeauberichten wilt toevoegen"
"Check this checkbox if you want to add gift messages to your items.","Vink deze checkbox aan als u een cadeauberichten wilt toevoegen aan uw artikelen"
"Enter a gift message for this address.","Voer een cadeau bericht in voor dit adres"
"Enter a gift message for each item in your order.","Voer een cadeaubericht in voor elk artikel in uw bestelling."
"Enter a gift message for entire order.","Voer een cadeaubericht in voor gehele bestelling"
"Are you sure?","Weet u het zeker?"
"Edit","Wijzigen"
"Do you have any gift items in your order?","Zitten er cadeaus bij uw bestelling?"
