"* Select shipping method","*Selecteer een verzendmethode"
"Enable this if your checkout request is too big and being cut off.","Activeer dit als de kassa aanvraag te groot is en afgekapt wordt."
"Enable Merchant Calculated","Activeer eigen berekening"
"Enable Flat Rate","Activeer plat tarief"
"Enable Carrier Calculated","Activeer transporteur berekening"
"Delivery schedule","Aflevering schema"
"Auto-generated from GoogleCheckout Charge","Automatisch van GoogleCheckout Charge"
"AVS Status: %s","AVS Status: %s"
"Rate 1 Amount","Bedrag Tarief 1"
"Rate 2 Amount","Bedrag Tarief 2"
"Rate 3 Amount","Bedrag Tarief 3"
"Amount: %s","Bedrag: %s"
"Secure Callback URL","Beveiligde Callback URL"
"CC Partial: xxxx-%s","CC Gedeeltelijk: xxxx-%s"
"CID Status: %s","CID Status: %s"
"Disable Default Tax Tables","Deactiveer de standaard BTW tabellen"
"Debug","Debuggen"
"Enable Digital Delivery","Digitaal afleveren activeren"
"Invoice auto-created: %s","Factuur automatisch aangemaakt: %s"
"Financial: %s -> %s","Financieel: %s -> %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Gebruiker wenst marketing e-mails te ontvangen: %s"
"Google API","Google API"
"Google Authorization:","Google Autorisatie:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digitale aflevering"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Verzenden - Eigen Berekening"
"Google Checkout Shipping - Flat Rate","Google Checkout Verzenden - Plat tarief"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Verzenden - Transporteur Berekend"
"Google Checkout: %s","Google Checkout: %s"
"Google Refund:","Google credit:"
"Google Buyer Id: %s","Google Klant Id: %s"
"Google Charge:","Google kosten"
"Google Order Number: %s","Google order nummer: %s"
"Google order status change:","Google order status verandering:"
"Google Risk Information:","Google Risico Informatie:"
"Free Shipping","Gratis verzending"
"Large - %s","Groot - %s"
"Eligible for protection: %s","In aanmerking voor bescherming: %s"
"Enable","Inschakelen"
"IP Address: %s","IP Adres: %s"
"Checkout Image Style","Kassa afbeelding stijl"
"Small - %s","Klein - %s"
"Latest Charge: %s","Laatste betaling: %s"
"Latest Refund: %s","Laatste credit"
"Buyer account age: %s days","Leeftijd gebruiker: %s dagen"
"Location","Locatie"
"Medium - %s","Medium - %s"
"Merchant ID","Merchant ID"
"Merchant Key","Merchant Key"
"Method","Methode"
"No","Nee"
"Optional, leave empty for home page.","Optioneel, leeg laten voor homepage"
"Sandbox","Sandbox"
"Default Package Width (in)","Standaard Pakketbreedte"
"Default Package Height (in)","Standaard Pakkethoogte"
"Default Package Length (in)","Standaard Pakketlengte"
"Default price:","Standaard prijs:"
"Default price for methods","Standaardprijs voor methode"
"New order status","Status nieuwe bestelling"
"Rate 1 Ship To Applicable Countries","Tarief 1 Verzend naar geactiveerde landen"
"Rate 1 Ship to Specific Countries","Tarief 1 Verzend naar specifieke landen"
"Rate 2 Ship To Applicable Countries","Tarief 2 Verzend naar geactiveerde landen"
"Rate 2 Ship to Specific Countries","Tarief 2 Verzend naar specifieke landen"
"Rate 3 Ship To Applicable Countries","Tarief 3 Verzend naar geactiveerde landen"
"Rate 3 Ship to Specific Countries","Tarief 3 Verzend naar specifieke landen"
"Rate 1 Title","Titel Tarief 1"
"Rate 2 Title","Titel Tarief 2"
"Rate 3 Title","Titel Tarief 3"
"Allowed Methods","Toegestane methoden"
"Add","Toevoegen"
"Total Charged: %s","Totaal berekend: %s"
"Total Refunded: %s","Total gecrediteerd: %s"
"Carrier Calculated Methods","Tranporteur berekende methodes"
"Transparent","Transparant"
"You will be redirected to GoogleCheckout in a few seconds.","U wordt binnen enkele seconden doorverwezen naar Google Checkout"
"Hide Cart Contents During Checkout","Verberg de winkelwagen inhoud tijdens de kassa"
"United Kingdom","Verenigd Koninkrijk"
"United States","Verenigde Staten"
"Expiration: %s","Vervaldatum: %s"
"Fulfillment: %s -> %s","Vervulling: %s -> %s"
"Remove","Verwijderen"
"Delivery Address Category","Verzendadres categorie"
"Required for live Google Checkout transactions.","Verzocht voor live Google Checkout transacties."
"Virtual item to reflect discount total","Virtueel artikel om het kortingstotaal door te geven"
"Add Shipping Method","Voeg verzendmethode toe"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Wanneer geactiveerd, worden de artikelen in de winkelwagent verborgen nadat er op de Google Checkout knop is gedrukt, en komen weer tevoorschijn wanneer op ""Wijzig winkelwagen"" wordt geclickt"
"Continue Shopping URL","Winkel verder URL"
"Cart Discount","Winkelwagen korting"
"White Background","Witte achtergrond"
