" Copy"," Copy"
"Add to Queue","Aan wachtrij toevoegen"
"Subscriber","Abonnee"
"Sign up for our newsletter:","Abonneer u op onze nieuwsbrief"
"Subscribers","Abonnees"
"Subscribers From","Abonnees van"
"Subscription Options","Abonnement-opties"
"Customer Lastname","Achternaam klant"
"Action","Actie"
"Sender","Afzender"
"Unsubscription Email Sender","Afzender e-mail uitschrijving"
"Cancel","Annuleren"
"Thank you for your subscription","Bedankt voor uw abonnement"
"Message","Bericht"
"Confirmation Email Sender","Bevestiging e-mail afzender"
"Confirmation Email Template","Bevestiging e-mail template"
"Sending","Bezig met verzenden"
"Date Updated","Datum bijgewerkt"
"Date Added","Datum toegevoegd"
"Resume","Doorgaan"
"Duplicate of template code","Duplicaat van template-code"
"Email","E-mail"
"Sender Email","E-mail afzender"
"Toggle Editor","Editor gebruiken"
"There was a problem with the subscription","Er was een probleem met het abonnement"
"There was a problem with the subscription: %s","Er was een probleem met het abonnement: %s"
"There was a problem with the un-subscription.","Er was een probleem met het uitschrijven"
"There was an error while saving your subscription","Er was een probleem tijdens het opslaan van uw abonnement"
"Form was filled incorrectly","Formulier is onjuist ingevuld"
"Error Code","Foutcode"
"Error Text","Fouttekst"
"Guest","Gast"
"Subscribed","Geabonneerd"
"Cancelled","Geannuleerd"
"Please enter new template name","Geef een nieuwe templatenaam op aub"
"Return Html Version","Geef HTML-versie terug"
"No subscribers selected","Geen abonnees geselecteerd"
"No problems found","Geen problemen gevonden"
"No Templates Found","Geen templates gevonden"
"Paused","Gepauzeerd"
"Selected problem subscribers successfully unsubscribed","Geselecteerde probleem-abonnees met succes uitgeschreven"
"Delete Selected Problems","Geselecteerde problemen verwijderen"
"Selected problems successfully deleted","Geselecteerde problemen zijn met succes verwijderd"
"Reset","Herstellen"
"ID","ID"
"Subscribe","Inschrijven"
"Sign me up","Inschrijven"
"Cannot delete subscriber","Kan abonnee niet verwijderen"
"Cannot mark as received subscriber","Kan niet markeren als een ontvangen abonnee"
"Cannot delete template","Kan template niet verwijderen"
"Cannot save your subscription: %s","Kan uw abonnement niet opslaan: %s"
"Customer","Klant"
"Need to Confirm","Moet bevestigen"
"Sender Name","Naam afzender"
"Not activated","Niet geactiveerd"
"Not Sent","Niet verzonden"
"New Template","Nieuw template"
"New Newsletter Template","Nieuwe nieuwsbrief-template"
"Add New Template","Nieuwe template toevoegen"
"Newsletter","Nieuwsbrief"
"Newsletter Subscribers","Nieuwsbrief abonnees"
"Newsletter subscription confirmation","Nieuwsbrief abonnementbevestiging"
"Newsletter Subscriptions","Nieuwsbrief abonnementen"
"Newsletter subscription success","Nieuwsbrief abonnementscore"
"View Newsletter","Nieuwsbrief bekijken"
"Edit Newsletter","Nieuwsbrief bewerken"
"Save Newsletter","Nieuwsbrief opslaan"
"Newsletter unsubscription success","Nieuwsbrief opzeggingenscore"
"Newsletter Problem Reports","Nieuwsbrief probleemrapporten"
"Newsletter Templates","Nieuwsbrief templates"
"Newsletter Queue","Nieuwsbrief wachtrij"
"Newsletter Sign-up","Nieuwsbrief-abonnement"
"Create Newsletter Template","Nieuwsbrief-template aanmaken"
"Edit Newsletter Template","Nieuwsbrief-template bewerken"
"Newsletter Subscription","Nieuwsbriefabonnement"
"Convert to Plain Text","Omzetten naar platte tekst"
"Subject","Onderwerp"
"Invalid subscriber ID","Ongeldig abonnee-ID"
"Invalid subscription ID","Ongeldig abonnement-ID"
"Invalid subscription confirmation code","Ongeldige bevestigingscode abonnement"
"Invalid queue selected","Ongeldige wachtrij geselecteerd"
"Recipients","Ontvangers"
"Save As","Opslaan als"
"Save And Resume","Opslaan en doorgaan"
"Pause","Pauzeren"
"Newsletter Message Preview","Preview nieuwsbrief-bericht"
"Set Return-Path","Retourpad instellen"
"Newsletter Section","Sectie Nieuwsbrief"
"Please select subscriber(s)","Selecteer abonnees aub."
"Start","Start"
"Status","Status"
"Success Email Sender","Succes e-mail afzender"
"Success Email Template","Succes e-mail template"
"Edit Template","Template bewerken"
"Unsubscription Email Template","Template e-mail uitschrijving"
"Template Information","Template informatie"
"Template Content","Template inhoud"
"Template Name","Template naam"
"Template Subject","Template onderwerp"
"Save Template","Template opslaan"
"Template Type","Template soort"
"Delete Template","Template verwijderen"
"Preview Template","Template vooraf bekijken"
"Back","Terug"
"Type","Type"
"You have been successfully unsubscribed.","U bent nu uitgeschreven."
"Unsubscribed","Uitgeschreven"
"Unsubscribe","Uitschrijven"
"Unsubscribe Selected","Uitschrijven geselecteerd"
"Your subscription was successfully confirmed","Uw abonnement is met succes bevestigd"
"The subscription was successfully saved","Uw abonnement is met succes opgeslagen"
"Processed","Verwerkt"
"Sending Options","Verzendopties"
"Confirmation request has been sent","Verzoek om bevestiging is verzonden"
"Sent","Verzonden"
"Enter your email address","Voer uw e-mailadres in"
"Preview","Voorbeeld"
"Customer Firstname","Voornaam klant"
"Please enter a valid email address","Vul een geldig e-mailadres in a.u.b."
"Edit Queue","Wachtrij bewerken"
"Queue Finish","Wachtrij einde"
"Queue Newsletter","Wachtrij nieuwsbrief"
"Queue Subject","Wachtrij onderwerp"
"Queue Start","Wachtrij start"
"Queue Date Start","Wachtrij startdatum"
"Queue Information","Wachtrijgegevens"
"Website","Website"
"Are you sure that you want to strip all tags?","Weet u zeker dat u alle tags wilt ontkoppelen?"
"Are you sure that you want to delete this template?","Weet u zeker dat u deze template wilt verwijderen?"
"Do you really want to cancel the queue?","Weet u zeker dat u deze wachtrrij wilt annuleren?"
"Store","Winkel"
"Store View","Winkelzicht"
