"--Please Select--","--Selecteer a.u.b.--"
"<label>Make Check payable to</label>: %s","<label>Schrijf cheque uit aan:</label> %s"
"<label>Make Check payable to:</label> %s","<label>Schrijf cheque uit aan:</label> %s"
"Automatically invoice all items","Automatically invoice all items"
"Check / Money order","Bestelling met cheque / kontant"
"Payment Methods","Betaalwijzen"
"Payment from applicable countries","Betaling van landen die van toepassing zijn."
"Payment from Specific countries","Betaling van specifieke landen."
"Credit Card Types","Credit Card Type"
"Credit Card Verification","Credit Card Verficatie"
"Credit Card Number","Creditcard Nummer"
"Credit Card Number: %s","Creditcard-nummer: %s"
"Credit Card Number: xxxx-%s","Creditcard-nummer: xxxx-%s"
"Credit Card Type","Creditcard-type"
"Credit Card Type: %s","Creditcard-type: %s"
"Enabled","Ingeschakeld"
"Purchase order","Inkooporder"
"Purchase Order Number","Inkooporder-nummer"
"Purchase Order Number: %s","Inkooporder: %s"
"Year","Jaar"
"Card Verification Number","Kaart-verificatienummer"
"Can not retrieve payment info model object.","Kan betaalgegevens van ""model object"" niet ophalen."
"Can not configuration for payment method with code: %s","Kan configuratie van betaalwijze met code %s niet ophalen"
"Can not retrieve payment method instance","Kan instance van betaalwijze niet ophalen"
"Can not retrieve payment method model object.","Kan modelobject betaalwijze niet ophalen"
"Month","Maand"
"Maximum Order Total","Maximaal Order Totaal"
"Minimum Order Total","Minimaal order totaal"
"Name on the Card: %s","Naam op de kaart: %s"
"Name on Card","Naam op kaart"
"Zero Subtotal Checkout","Nul-subtotaal Afrekenen"
"Saved CC","Opgeslagen CC"
"Make Check payable to","Schrijf cheque uit aan"
"Make Check payable to: %s","Schrijf cheque uit aan: %s"
"Payment Methods Section","Sectie Betaalwijzen"
"Sort order","Sorteer volgorde"
"New order status","Status nieuwe bestelling"
"Send Check to","Stuur cheque naar"
"Send Check to:","Stuur cheque naar:"
"Title","Titel"
"Expiration Date","Vervaldatum"
"Expiration Date: %s/%s","Vervaldatum: %s/%s"
"What is this?","Wat is dit?"
