"%s - Discounts and Coupons","%s – Kortingen en bonnen"
"%s - Special Discounts","%s – Speciale kortingen"
"%s has reached a quantity of %s.","%s heeft een aantal van %s bereikt."
"%s RSS Feed","%s RSS Feed"
"Gift Message","Bericht bij cadeau"
"Message:","Bericht:"
"Order # %s Notification(s)","Bestelling # %s melding(en)"
"Order #%s created at %s","Bestelling #%s aangemaakt op %s"
"Tax","BTW"
"Catalog","Catalogus"
"Category Feeds","Categorie-feeds"
"Notified Date: %s<br/>","Datum ingelicht: %s<br />"
"Details for %s #%s","Details voor %s #%s"
"Discount ","Discount "
"Miscellaneous Feeds","Diverse Feeds"
"Grand Total","Eindtotaal"
"There are no Rss Feeds","Er zijn geen RSS feeds"
"There are no Rss Feeds.","Er zijn geen RSS feeds."
"Get Feed","Feed opvragen"
"Error in processing xml. %s","Fout tijdens verwerken van XML. %s"
"Purchased From: %s","Gekocht van: %s"
"Current Status: %s<br/>","Huidige status: %s<br />"
"Cannot retrieve the wishlist","Kan verlanglijst niet ophalen"
"Customer Name: %s","Klantnaam: %s"
"click <a href=""%s"">here</a> to view the review","klik <a href=""%s"">hier</a> om de review te bekijken"
"Coupons/Discounts","Kortingsbonnen/kortingen"
"Customer Order Status Notification","Melding bestelstatus van klant"
"New Orders","Nieuwe bestellingen"
"New Products","Nieuwe producten"
"New Products from %s","Nieuwe producten van %s"
"Comment: %s<br/>","Notitie: %s<br />"
"Pending product review(s)","Onafgehandelde product-reviews"
"Tags Products","Product-tags"
"Product: <a href=""%s"">%s</a> <br/>","Product: <a href=”%s”>%s</a><br />"
"Product: ""%s"" review By: %s","Product: “%s” review door: %s"
"Products tagged with %s","Producten getagd met %s"
"Low Stock Products","Producten met weinig voorraad"
"Review: %s <br/>","Review: %s <br/>"
"RSS","RSS"
"Rss Config","RSS configuratie"
"RSS Feeds","RSS feeds"
"Enable RSS","RSS inschakelen"
"Summary of review: %s <br/>","Samenvatting van review: %s<br />"
"Rss Feeds Section","Sectie RSS feeds"
"Special Products","Speciale producten"
"Special/Discount Products","Speciale/Korting producten"
"Subtotal","Subtotaal"
"RSS testing","Test RSS"
"Top Level Category","Top level categorie"
"To:","Tot:"
"Total Products: %s","Totaal producten: %s"
"Total: %s<br/>","Totaal: %s<br />"
"From:","Van:"
"Wishlist","Verlanglijst"
"%s's Wishlist","Verlanglijst van %s"
"Shipping & Handling","Verzending en afhandeling"
"Store: %s <br/>","Winkel: %s<br />"
