"Sender:","Afzender:"
"Limit Sending By","Beperk verzending door"
"Message:","Bericht:"
"Email to a Friend","E-mail naar een vriend"
"Email templates","E-mail templates"
"Email:","E-mail:"
"Email Address","E-mailadres"
"Email Address:","E-mailadres:"
"Some problems with data.","Enkele problemen met data"
"Enabled","Ingeschakeld"
"Link to a friend was sent.","Link naar een vriend is verstuurd"
"Max Recipients","Max. ontvangers"
"Max Products Sent in 1 Hour","Max. producten verzonden in 1 uur"
"Maximum %d email addresses allowed.","Maximum %d e-mailadressen toegestaan."
"Name","Naam"
"Name:","Naam:"
"Recipient:","Ontvanger:"
"Select email template","Selecteer e-mail template"
"Some emails was not sent","Sommige e-mails zijn niet verzonden"
"Allow for Guests","Toestaan voor gasten"
"You cannot email this product to a friend","U kunt dit product niet versturen naar een vriend"
"You cannot send more than %d times in an hour","U kunt niet vaker dan %d keer per uur versturen"
"Send email","Verstuur e-mail"
"Send product to a friend","Verstuur product aan een vriend"
"Remove Email","Verwijder e-mail"
"Add Recipient","Voeg ontvanger toe"
