"-- Please Select --","-- Selecteer a.u.b. --"
"Custom price if available","Aangepaste prijs als deze beschikbaar is"
"Original price only","Alleen oorspronkelijke prijs"
"Manage Tax Zones & Rates","Beheer belastingzones & tarieven"
"Manage Customer Tax Classes","Beheer BTW-groepen klanten"
"Manage Product Tax Classes","Beheer BTW-groepen producten"
"Manage Tax Rules","Beheer BTW-regels"
"Manage Tax Rates","Beheer BTW-tarieven"
"Apply Tax On","Bereken BTW op"
"Apply Tax After Discount","Bereken de BTW na korting"
"Calculation","Berekening"
"Edit Tax Rate","Bewerk BTW-tarief"
"Edit Class '%s'","Bewerken van tariefgroep ‘%s’"
"Tax","BTW"
"Tax Based On","BTW gebasseerd op"
"Shipping prices include tax","BTW in verzendkosten inbegrepen"
"Tax Titles","BTW namen"
"Display Zero Tax Subtotal","BTW van Nul tonen in subtotaal"
"Tax Class for Shipping","BTW-groep voor verzending"
"Import Tax Rates","BTW-groepen importeren"
"Product Tax Classes","BTW-groepen product"
"Tax Identifier","BTW-identifier"
"Tax rule was successfully saved","BTW-regel is opgeslagen"
"Tax rule was successfully deleted","BTW-regel is verwijderd"
"Tax Rules","BTW-regels"
"Tax Rate","BTW-tarief"
"Tax rate was successfully imported","BTW-tarief is geimporteerd"
"Tax rate was successfully saved","BTW-tarief is opgeslagen"
"Tax rate was successfully deleted","BTW-tarief is verwijderd"
"Tax Rate Information","BTW-tariefgegevens"
"Product Tax Class Information","BTW-tariefgegevens van product"
"Tax class was successfully saved","BTW-tariefgroep is opgeslagen"
"Tax class was successfully deleted","BTW-tariefgroep is verwijderd"
"Customer Tax Class","BTW-tariefgroep klant"
"Product Tax Class","BTW-tariefgroep product"
"Tax Rule Information","BTW-tariefgroep-gegevens"
"Tax Classes","BTW-tariefgroepen"
"Customer Tax Classes","BTW-tariefgroepen klant"
"Import / Export Tax Rates","BTW-tarieven in- en exporteren"
"Tax rates at the same priority are added, others are compounded.","BTW-tarieven met dezelfde prioriteit worden opgeteld, andere worden gecombineerd."
"Catalog prices include tax","Catalogusprijzen inclusief BTW"
"Code","Code"
"Country/Region/Postal code combination","Combinatie van land, regio en postcode"
"CSV","CSV"
"This rule no longer exists","Deze regel bestaat niet meer"
"This class no longer exists","Deze tariefgroep bestaat niet meer"
"One of the country has invalid code.","Eén van de landen heeft een ongeldige code"
"Error while saving this tax class. Class with the same name ","Error while saving this tax class. Class with the same name "
"Excl. Tax","Excl. BTW"
"Excl. Tax:","Excl. BTW:"
"Excluding tax","Exclusief BTW"
"Export Tax Rates","Exporteer BTW-tarieven"
"Error while deleting this tax rule. Please try again later.","Fout tijdens het verwijderen van deze BTW-regel. Probeer het later opnieuw."
"Error while saving this tax class. Please try again later.","Fout tijdens opslaan van BTW-tariefgroep. Probeer later opnieuw"
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Fout tijdens opslaan van deze BTW-regel. Deze combinatie van product- en klant-tariefgroepen en BTW-tarief"
"Error while saving this tax rule. Please try again later.","Fout tijdens opslaan van deze BTW-regel. Probeer later nieuw."
"Error while saving this rate. Please try again later.","Fout tijdens opslaan van deze koers. Probeer het later opnieuw ."
"Error while deleting this class. Please try again later.","Fout tijdens verwijderen van deze tariefgroep. Probeer het later opnieuw."
"Error while deleting this rate. Incorrect rate ID","Fout tijdens verwijderen van dit tarief. Onjuist ID"
"Error while deleting this rate. Please try again later.","Fout tijdens verwijderen van dit tarief. Probeer het later opnieuw."
"Apply Discount On Prices Including Tax","Geef korting op de prijzen inclusief BTW"
"None","Geen"
"Customer Tax Class Information","Gegevens BTW-tariefgroep klant"
"Ignored when 'Apply Tax After Discount' option is enabled","Genegeerd wanneer 'BTW berekenen na korting' is ingeschakeld"
"Reset","Herstellen"
"Including and excluding tax","In- en exclusief BTW"
"Incl. Tax","Incl. BTW"
"Inc. Tax","Incl. BTW"
"Incl. Tax:","Incl. BTW:"
"Including tax","Inclusief BTW"
"Country","Land"
"Name","Naam"
"Class Name","Naam tariefgroep"
"New Tax Rate","Nieuw BTW-tarief"
"Add New Tax Rate","Nieuw BTW-tarief toevoegen"
"New Class","Nieuwe BTW-groep"
"Add New Tax Rule","Nieuwe BTW-regel toevoegen"
"New Rule","Nieuwe regel"
"Add New Class","Nieuwe tariefgroep toevoegen"
"Invalid data for tax rate calculation","Ongeldige gegevens voor berekening van BTW-tarief"
"Incorrect rate Data","Onjuiste tariefgegevens"
"Invalid file upload attempt","Poging Ongeldig bestand te uploaden"
"Invalid file format upload attempt","Poging ongeldig bestandsformaat te uploaden"
"Zip/Post Code","Postcode"
"Priority","Prioriteit"
"Display Product Prices","Productprijzen tonen"
"State/Region","Provincie"
"State","Provincie"
"Edit Rule","Regel bewerken"
"Save Rule","Regel opslaan"
"Delete Rule","Regel verwijderen"
"County","Regio"
"Tax Section","Sectie BTW"
"Please select Country","Selecteer land aub"
"Please select State","Selecteer provincie aub"
"Please select County","Selecteer regio aub"
"Sort Order","Sorteervolgorde"
"Default Tax Origin Calculation","Standaard BTW-herkomstberekening"
"Default Country","Standaard-land"
"Default Post Code","Standaard-postcode"
"Default State","Standaard-provincie"
"Rate","Tarief"
"Save Rate","Tarief opslaan"
"Delete Rate","Tarief verwijderen"
"Edit Class","Tariefgroep bewerken"
"Save Class","Tariefgroep opslaan"
"Delete Class","Tariefgroep verwijderen"
"Back","Terug"
"Display","Tonen"
"Display Shipping Prices","Transportkosten tonen"
"You cannot delete this tax class as it is used for %d customer groups.","U kunt deze tariefgroep niet verwijderen omdat hij nog gebruikt wordt bij %d klantengroepen."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","U kunt deze tariefgroep niet verwijderen omdat hij nog gebruikt wordt in BTW-regels. U moet eerst de regels verwijderen waarin hij wordt gebruikt."
"You cannot delete this tax class as it is used for %d products.","U kunt deze tariefgroep niet verwijderen omdat hij nog gebruikt wordt voor %d producten."
"Sales","Verkopen"
"Display full tax summary","Volledig BTW-overzicht tonen"
"Display Cart/Order Prices","Wagen/Bestel-prijzen tonen"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt?"
"XML","XML"
